frame,joint1_x,joint1_y,joint2_x,joint2_y,joint3_x,joint3_y,joint4_x,joint4_y,joint5_x,joint5_y,joint6_x,joint6_y,joint7_x,joint7_y,joint8_x,joint8_y,joint9_x,joint9_y,joint10_x,joint10_y,joint11_x,joint11_y,joint12_x,joint12_y,joint13_x,joint13_y,joint14_x,joint14_y,joint15_x,joint15_y,joint16_x,joint16_y,joint17_x,joint17_y
frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,1270.177734375,199.94883728027344,1278.6763916015625,193.34600830078125,1262.604736328125,190.81809997558594,1287.0166015625,198.74656677246094,1246.1669921875,192.4796905517578,1293.5843505859375,248.17709350585938,1220.7861328125,236.3643035888672,1300.4552001953125,309.83203125,1188.08203125,290.1993408203125,1292.775390625,358.02398681640625,1181.1632080078125,352.9940185546875,1259.8590087890625,365.67034912109375,1212.2933349609375,359.4910888671875,1244.115478515625,440.85870361328125,1197.937255859375,434.4299011230469,1227.2698974609375,506.7615051269531,1186.0040283203125,499.5411376953125
1,1272.9976806640625,201.86859130859375,1282.09619140625,195.55194091796875,1265.64404296875,192.67327880859375,1291.7030029296875,202.12921142578125,1249.8099365234375,195.09434509277344,1296.952392578125,251.9007568359375,1226.1787109375,236.46263122558594,1302.17822265625,313.8941345214844,1192.8642578125,287.7441711425781,1292.7176513671875,357.08612060546875,1186.1199951171875,348.56414794921875,1262.379150390625,365.4361267089844,1216.038330078125,356.95977783203125,1244.019775390625,438.04852294921875,1201.50048828125,428.35333251953125,1230.36962890625,507.4752197265625,1195.6053466796875,496.504638671875
2,1279.7347412109375,205.20941162109375,1288.00732421875,198.6906280517578,1271.812744140625,196.26828002929688,1295.805419921875,203.84292602539062,1254.831787109375,197.87210083007812,1301.4444580078125,251.45127868652344,1230.923583984375,240.71554565429688,1308.187744140625,312.74102783203125,1197.814208984375,293.5403747558594,1300.831298828125,364.1739807128906,1187.151123046875,353.802734375,1269.936279296875,369.97711181640625,1224.158447265625,364.35723876953125,1251.3624267578125,447.39697265625,1210.96923828125,441.90411376953125,1225.1632080078125,511.218994140625,1191.806640625,505.4693298339844
3,1288.496826171875,207.11439514160156,1296.3895263671875,200.86871337890625,1280.308349609375,198.43536376953125,1302.98681640625,206.86239624023438,1262.335205078125,200.958251953125,1308.2825927734375,254.77978515625,1237.366455078125,244.23101806640625,1316.9339599609375,316.1653747558594,1202.988525390625,297.764892578125,1309.559326171875,367.1859130859375,1190.919189453125,358.51287841796875,1275.5767822265625,374.32183837890625,1230.08154296875,368.84027099609375,1253.68701171875,453.93896484375,1218.2550048828125,448.7145080566406,1221.302734375,517.3485717773438,1196.380126953125,511.94573974609375
4,1290.934814453125,209.80165100097656,1299.599853515625,203.22802734375,1282.648681640625,200.85731506347656,1308.1038818359375,209.15118408203125,1265.193115234375,203.37277221679688,1313.929931640625,256.86016845703125,1240.917724609375,248.41162109375,1325.565185546875,318.747314453125,1206.5556640625,304.1225280761719,1319.1849365234375,372.1776123046875,1194.7713623046875,361.58563232421875,1280.6968994140625,377.51953125,1234.7928466796875,373.15863037109375,1254.4534912109375,455.9938659667969,1226.7559814453125,452.5439758300781,1215.2918701171875,518.3578491210938,1205.4052734375,515.6541137695312
5,1301.39013671875,228.56552124023438,1311.04443359375,220.92613220214844,1293.168701171875,219.0638427734375,1321.99560546875,226.10755920410156,1276.7628173828125,221.67556762695312,1326.963134765625,273.709228515625,1253.3565673828125,265.5804748535156,1342.1978759765625,337.83953857421875,1217.056396484375,324.24749755859375,1338.51220703125,396.3045654296875,1208.71142578125,381.092041015625,1290.174072265625,395.5996398925781,1243.85595703125,390.1412658691406,1263.095458984375,476.5304260253906,1237.697509765625,471.8162841796875,1231.9215087890625,554.2340698242188,1230.3773193359375,551.7210693359375
6,1304.338134765625,233.32901000976562,1313.493408203125,225.26541137695312,1295.414306640625,223.94114685058594,1322.840087890625,231.6258087158203,1277.6802978515625,228.05776977539062,1329.873291015625,282.92108154296875,1255.4241943359375,278.7719421386719,1342.81787109375,348.10821533203125,1221.361328125,338.15399169921875,1340.848876953125,409.07232666015625,1211.7340087890625,395.2276611328125,1295.4281005859375,409.8741760253906,1249.228759765625,407.51458740234375,1264.119384765625,498.1559143066406,1242.10009765625,497.267333984375,1242.87353515625,577.4698486328125,1241.9869384765625,579.4949951171875
7,1311.644775390625,251.04776000976562,1321.6083984375,242.8473358154297,1303.2469482421875,240.68174743652344,1331.732177734375,246.39903259277344,1285.18115234375,240.76290893554688,1335.883544921875,293.19012451171875,1260.2607421875,286.7414245605469,1352.3203125,359.744873046875,1225.8607177734375,350.37884521484375,1346.1732177734375,419.3438415527344,1216.8173828125,413.7393493652344,1301.78369140625,420.3489990234375,1255.809326171875,416.8526916503906,1266.8035888671875,505.4268798828125,1254.2628173828125,502.6722106933594,1236.005615234375,582.0459594726562,1256.70751953125,582.2722778320312
8,1318.5322265625,256.3730163574219,1328.9771728515625,247.77316284179688,1309.70361328125,245.4586944580078,1339.4744873046875,252.71131896972656,1291.1490478515625,246.74057006835938,1342.6181640625,304.8809814453125,1266.16357421875,296.29473876953125,1356.5555419921875,375.09381103515625,1232.423583984375,362.6593322753906,1350.299560546875,432.0465087890625,1225.7823486328125,428.54840087890625,1306.503662109375,435.4935302734375,1259.7518310546875,430.82696533203125,1271.9791259765625,515.2703857421875,1256.2518310546875,510.81170654296875,1243.102783203125,595.7921752929688,1260.1536865234375,593.2109985351562
9,1327.238525390625,262.62420654296875,1337.353271484375,253.47340393066406,1317.72998046875,252.18759155273438,1348.02490234375,257.31927490234375,1298.236572265625,254.0936279296875,1354.3494873046875,308.181396484375,1272.892822265625,304.8662109375,1365.1749267578125,375.52301025390625,1238.23388671875,373.3686218261719,1352.2099609375,434.6223449707031,1233.5938720703125,439.97076416015625,1318.3045654296875,444.3349914550781,1266.2816162109375,441.22705078125,1289.446044921875,531.660888671875,1255.5291748046875,529.0742797851562,1265.6571044921875,605.653564453125,1253.9337158203125,606.3598022460938
10,1339.4302978515625,268.4416809082031,1347.982421875,260.1558837890625,1330.3238525390625,259.03521728515625,1355.5267333984375,260.5162353515625,1308.9388427734375,256.37982177734375,1361.8526611328125,314.08282470703125,1275.08349609375,309.1783752441406,1371.65869140625,385.6784362792969,1249.611572265625,379.955322265625,1364.5433349609375,443.93548583984375,1237.043212890625,454.02294921875,1325.7113037109375,447.6021423339844,1271.228271484375,445.2364196777344,1313.21142578125,532.8169555664062,1262.9063720703125,536.8350830078125,1276.40087890625,594.738037109375,1256.479736328125,610.1497802734375
11,1351.08740234375,281.1553955078125,1359.251953125,272.42822265625,1341.5775146484375,270.9091796875,1366.318603515625,273.5638427734375,1319.177734375,269.35772705078125,1375.978515625,326.013916015625,1288.981689453125,318.22344970703125,1378.747802734375,400.5133056640625,1255.402099609375,391.9150390625,1373.390380859375,465.9712829589844,1247.78125,465.8700256347656,1330.7828369140625,461.9171447753906,1274.668701171875,455.6201477050781,1324.76953125,556.9263305664062,1264.309326171875,545.5863037109375,1292.1474609375,637.01220703125,1256.784912109375,621.924072265625
12,1363.1796875,296.02703857421875,1371.988525390625,288.46771240234375,1353.8369140625,283.99847412109375,1377.426025390625,290.5293273925781,1327.836669921875,280.2897644042969,1390.6348876953125,346.4209899902344,1302.833251953125,330.20343017578125,1389.2335205078125,416.9905700683594,1262.209228515625,405.8759765625,1379.2294921875,481.514892578125,1253.068359375,479.9476318359375,1341.040771484375,483.45611572265625,1283.223876953125,468.24615478515625,1333.5662841796875,586.9673461914062,1264.12353515625,547.391357421875,1312.6513671875,681.7259521484375,1256.1689453125,622.5743408203125
13,1378.694580078125,311.4983825683594,1387.18115234375,303.7952575683594,1369.4229736328125,299.8399353027344,0.0,0.0,1339.593505859375,294.868896484375,1400.4327392578125,362.6293029785156,1315.220703125,348.3100891113281,1396.4781494140625,434.0662536621094,1268.9842529296875,431.43109130859375,1386.5633544921875,500.9493713378906,1262.109619140625,505.462646484375,1344.66015625,503.3404541015625,1289.3369140625,487.47021484375,1335.580322265625,606.3814086914062,1272.173583984375,561.5323486328125,1310.330322265625,703.2427978515625,1253.346435546875,634.9022216796875
