frame,joint1_x,joint1_y,joint2_x,joint2_y,joint3_x,joint3_y,joint4_x,joint4_y,joint5_x,joint5_y,joint6_x,joint6_y,joint7_x,joint7_y,joint8_x,joint8_y,joint9_x,joint9_y,joint10_x,joint10_y,joint11_x,joint11_y,joint12_x,joint12_y,joint13_x,joint13_y,joint14_x,joint14_y,joint15_x,joint15_y,joint16_x,joint16_y,joint17_x,joint17_y
0,998.1633911132812,170.46766662597656,1003.95361328125,164.8721923828125,992.3868408203124,164.1092529296875,1012.6104125976562,167.81231689453125,981.393798828125,165.9331512451172,1025.3822021484375,200.99398803710935,961.829345703125,199.37535095214844,1039.9869384765625,243.05612182617188,943.0352783203124,242.8624420166016,1029.824951171875,277.8935852050781,957.4586181640624,278.4101867675781,1012.344970703125,284.51593017578125,969.660400390625,284.6029052734375,1024.682861328125,326.0787658691406,964.678466796875,326.6284484863281,1014.3309326171876,385.265869140625,955.6810913085938,387.66058349609375
1,998.322021484375,170.88919067382812,1004.0582275390624,165.3084716796875,992.46484375,164.55850219726562,1012.3941650390624,168.28463745117188,981.3658447265624,166.4681854248047,1024.994873046875,201.6277313232422,962.2977294921876,200.0051422119141,1039.9427490234375,243.828369140625,943.931396484375,243.13656616210935,1031.58935546875,279.43707275390625,956.690185546875,278.134033203125,1012.0127563476562,284.09375,969.9537353515624,284.17626953125,1023.4093017578124,328.614013671875,964.9578857421876,329.15093994140625,1014.7717895507812,384.9048461914063,957.1954345703124,387.0804443359375
2,998.314453125,170.77972412109375,1004.03564453125,165.2042999267578,992.4442749023438,164.46694946289062,1012.3843994140624,168.22772216796875,981.3638305664062,166.44969177246094,1025.0806884765625,201.69857788085935,962.3757934570312,200.00830078125,1040.049560546875,243.9244537353516,943.9879150390624,243.01377868652344,1031.55859375,279.42218017578125,956.5621948242188,278.0755920410156,1012.1297607421876,284.32476806640625,970.056396484375,284.35040283203125,1023.4022827148438,329.1405029296875,964.9705810546876,329.58807373046875,1014.73974609375,385.04833984375,957.15625,387.08502197265625
3,998.1029663085938,171.12136840820312,1003.7781372070312,165.45193481445312,992.1806030273438,164.78558349609375,1012.1262817382812,168.21331787109375,981.0924072265624,166.61019897460938,1024.9552001953125,201.73684692382807,962.3267822265624,200.1102600097656,1039.8531494140625,244.2186584472656,943.905517578125,243.11769104003903,1031.6793212890625,279.5678405761719,956.513671875,277.682373046875,1012.0572509765624,284.5002746582031,970.044189453125,284.5321350097656,1023.26904296875,329.43182373046875,964.6441040039062,329.8538818359375,1015.0526733398438,385.1911926269531,957.088623046875,387.1727294921875
4,997.66650390625,170.914794921875,1003.4207763671876,165.2530975341797,991.818359375,164.57989501953125,1012.0823974609376,168.06851196289062,980.9678955078124,166.44894409179688,1025.1513671875,201.67074584960935,962.3460693359376,200.0146484375,1039.96337890625,244.1323699951172,943.9637451171876,242.921630859375,1031.3095703125,279.63092041015625,956.5396728515624,277.6557312011719,1012.2680053710938,284.72515869140625,970.1259765625,284.6928100585937,1022.980712890625,330.6133117675781,964.487060546875,330.9513244628906,1014.9652099609376,385.5614318847656,957.310546875,387.44775390625
5,997.7726440429688,170.69882202148438,1003.4848022460938,165.02621459960938,991.876708984375,164.39315795898438,1012.0133056640624,167.85757446289062,980.9456787109376,166.34579467773438,1024.981689453125,201.4536895751953,962.3743896484376,199.96585083007807,1039.7208251953125,243.86183166503903,944.0227661132812,242.83969116210935,1031.345703125,279.6448059082031,956.4710693359376,277.4317626953125,1012.0885620117188,284.4847106933594,970.0504150390624,284.5340881347656,1022.8978271484376,330.85400390625,964.4317016601562,331.29852294921875,1015.0347290039062,385.6991271972656,957.16064453125,387.69525146484375
6,998.06884765625,170.8656463623047,1003.697509765625,165.18150329589844,992.1406860351562,164.57684326171875,1012.022216796875,167.94754028320312,981.1056518554688,166.515380859375,1024.990478515625,201.5156707763672,962.5245361328124,200.0484619140625,1039.865966796875,244.0068359375,944.1043701171876,242.85250854492188,1031.4161376953125,279.8927917480469,956.292236328125,277.33056640625,1012.0531005859376,284.27349853515625,970.1251220703124,284.3202819824219,1022.9137573242188,330.2655639648437,964.3804321289062,330.7055969238281,1015.03857421875,385.6890258789063,956.9976196289062,387.70458984375
7,998.0311889648438,171.02304077148438,1003.6305541992188,165.28775024414062,992.028564453125,164.69155883789062,1011.822509765625,167.90219116210938,980.8251953125,166.49057006835938,1024.735107421875,201.43667602539065,962.30029296875,199.9801025390625,1039.7957763671875,243.96157836914065,944.0650634765624,242.8228912353516,1031.491455078125,279.8948974609375,956.29931640625,277.34881591796875,1011.9581909179688,284.45318603515625,970.0475463867188,284.5133056640625,1022.8087158203124,330.52947998046875,964.2694091796876,330.96630859375,1014.92431640625,385.8774719238281,956.8792724609376,387.8722229003906
8,997.5994873046876,170.9647979736328,1003.2939453125,165.2504425048828,991.6810913085938,164.61927795410156,1011.802001953125,167.9891357421875,980.730224609375,166.49298095703125,1024.864501953125,201.6607666015625,962.283935546875,200.0998992919922,1039.8145751953125,244.32818603515625,944.066162109375,243.06344604492188,1031.3851318359375,280.04345703125,956.3616943359376,277.5199890136719,1011.9417724609376,284.5104675292969,969.9413452148438,284.5045471191406,1022.8763427734376,330.255859375,964.3002319335938,330.6205444335937,1014.9237060546876,385.8614501953125,956.9481811523438,387.7384643554688
9,997.6177368164062,170.95230102539062,1003.3002319335938,165.2584991455078,991.7114868164062,164.615966796875,1011.744873046875,167.96170043945312,980.7470703125,166.43023681640625,1024.7064208984375,201.47781372070312,962.3139038085938,199.940673828125,1039.708251953125,243.98165893554688,944.175048828125,242.80599975585935,1031.481201171875,279.8841247558594,956.2918701171876,277.3700561523437,1011.969482421875,284.3442687988281,970.0885620117188,284.35845947265625,1022.68896484375,330.6732788085937,964.3701782226562,331.0697631835937,1014.747314453125,385.90673828125,956.9222412109376,387.8194580078125
10,997.657470703125,171.04086303710938,1003.2562255859376,165.3296356201172,991.7367553710938,164.68826293945312,1011.4711303710938,167.9232177734375,980.6563720703124,166.3893585205078,1024.4287109375,201.40325927734372,962.1361083984376,199.9715881347656,1039.7889404296875,243.81488037109372,944.1260986328124,242.9662170410156,1031.601806640625,279.74737548828125,956.2230224609376,277.55279541015625,1011.9259033203124,284.2896728515625,970.1417236328124,284.3755187988281,1022.549560546875,330.6947631835937,964.3472900390624,331.18365478515625,1014.63330078125,385.80963134765625,956.8895874023438,387.8843994140625
