frame,joint1_x,joint1_y,joint2_x,joint2_y,joint3_x,joint3_y,joint4_x,joint4_y,joint5_x,joint5_y,joint6_x,joint6_y,joint7_x,joint7_y,joint8_x,joint8_y,joint9_x,joint9_y,joint10_x,joint10_y,joint11_x,joint11_y,joint12_x,joint12_y,joint13_x,joint13_y,joint14_x,joint14_y,joint15_x,joint15_y,joint16_x,joint16_y,joint17_x,joint17_y
0,684.1781616210938,224.5235137939453,693.9874267578125,214.4085693359375,675.3953247070312,215.2032623291016,714.85693359375,217.655029296875,665.5632934570312,220.0047912597656,742.7141723632812,274.2261657714844,651.8458251953125,275.6222839355469,770.6215209960938,349.968017578125,626.6630859375,346.5195007324219,768.1173095703125,424.39697265625,628.1660766601562,415.7196350097656,729.4915161132812,420.4462890625,671.0748291015625,420.7729797363281,735.7098999023438,515.8653564453125,680.6985473632812,515.2330322265625,734.5145874023438,595.39453125,693.360595703125,594.31298828125
1,684.9400024414062,224.84234619140625,694.33447265625,214.22039794921875,675.3712158203125,215.49375915527344,714.3345947265625,216.5402984619141,664.447998046875,220.1290283203125,742.4429931640625,274.1234436035156,651.213623046875,276.08251953125,770.2417602539062,351.78961181640625,625.7232055664062,347.91552734375,767.5689086914062,426.18695068359375,628.0563354492188,416.6615295410156,729.5313720703125,423.1805419921875,671.0422973632812,423.720458984375,735.7894287109375,518.67041015625,680.978271484375,518.06591796875,734.0418701171875,598.4240112304688,694.0848388671875,597.03271484375
2,685.2214965820312,224.47280883789065,694.6052856445312,213.8821563720703,675.6592407226562,215.1220703125,714.4816284179688,216.30764770507807,664.6201171875,219.80245971679688,742.5130615234375,273.768798828125,651.0675048828125,276.0627746582031,770.506103515625,351.4151916503906,625.8466796875,348.7810363769531,767.850830078125,426.2278442382813,628.7520141601562,417.9956665039063,729.7232666015625,422.95208740234375,671.0599365234375,423.6976318359375,735.9539184570312,518.3248291015625,680.8658447265625,518.0337524414062,733.9684448242188,597.8043212890625,693.661865234375,596.8800659179688
3,685.4063720703125,224.6315460205078,694.7711791992188,214.03793334960935,675.85205078125,215.2749481201172,714.5908203125,216.3841094970703,664.7833251953125,219.86700439453125,742.538330078125,273.7640686035156,651.17822265625,276.12451171875,770.52197265625,351.3153991699219,626.195556640625,348.9566345214844,767.888427734375,426.3645629882813,629.5408935546875,418.4328002929688,729.7066650390625,423.09869384765625,671.09765625,423.88775634765625,736.0391235351562,518.2471923828125,681.0303955078125,518.019775390625,733.927978515625,597.19677734375,693.7622680664062,596.3713989257812
4,685.6370849609375,224.62252807617188,694.94873046875,213.93960571289065,675.9296875,215.26927185058597,714.6348266601562,216.18548583984372,664.63818359375,219.9080810546875,742.6121215820312,273.6514892578125,651.1377563476562,276.2530517578125,770.67578125,351.27996826171875,626.17919921875,349.1858825683594,767.902587890625,426.4627075195313,629.5672607421875,418.6905212402344,729.9219970703125,423.1180419921875,671.2507934570312,423.9993286132813,736.1790161132812,518.1748046875,681.1495971679688,518.024658203125,733.852783203125,597.2357177734375,693.8833618164062,596.5013427734375
5,686.0686645507812,224.2862091064453,695.5252075195312,213.69873046875,676.359619140625,214.98114013671875,715.3352661132812,216.28921508789065,665.1315307617188,219.86593627929688,742.9255981445312,273.2654113769531,651.8626098632812,276.1952514648437,770.9498291015625,351.1151733398437,627.1140747070312,349.8554992675781,769.361083984375,426.1803588867188,628.84375,418.2688293457031,730.2959594726562,422.9072570800781,671.938720703125,423.9178466796875,734.9970092773438,519.7854614257812,682.2919921875,519.9179077148438,731.8875122070312,597.8973388671875,694.7646484375,597.5740966796875
6,685.7557373046875,223.9940185546875,695.2898559570312,213.4892578125,676.1380615234375,214.71002197265625,715.218994140625,216.3050079345703,665.013671875,219.72833251953125,742.7824096679688,273.20684814453125,651.5977783203125,276.197021484375,771.0012817382812,350.73614501953125,626.8973388671875,349.69384765625,769.1552734375,426.2989196777344,628.455078125,418.06536865234375,730.1746826171875,423.0233459472656,671.7301635742188,424.07952880859375,734.74267578125,519.9169921875,682.248291015625,520.1781005859375,731.4266967773438,597.9993286132812,694.617919921875,597.8740234375
7,685.8441162109375,223.9785003662109,695.30615234375,213.45925903320312,676.1947021484375,214.73873901367188,715.1203002929688,216.2325439453125,665.0364379882812,219.81417846679688,742.777587890625,273.23583984375,651.6744384765625,276.29052734375,771.083984375,350.7754211425781,626.9548950195312,349.5703125,769.1534423828125,426.3078002929688,628.41015625,417.7010498046875,730.1298828125,423.1471252441406,671.7481079101562,424.21435546875,734.8298950195312,519.761474609375,682.128662109375,520.017578125,731.7620849609375,598.026123046875,694.5467529296875,597.87841796875
8,685.51123046875,223.7460479736328,695.1035766601562,213.28907775878903,675.9166870117188,214.4660797119141,715.1005859375,216.34295654296875,664.8923950195312,219.66357421875,742.734130859375,273.6550598144531,651.7334594726562,276.19580078125,771.1842041015625,351.4747009277344,627.4375,349.0708923339844,769.18798828125,426.7488403320313,628.078857421875,416.70111083984375,730.0655517578125,423.2899475097656,671.6946411132812,424.0929565429688,734.4900512695312,520.2282104492188,681.7721557617188,520.1837158203125,731.7855834960938,598.504150390625,694.19873046875,597.9486694335938
9,685.6392211914062,223.65301513671875,695.2498779296875,213.2168884277344,676.0326538085938,214.3477783203125,715.1527709960938,216.37083435058597,664.90087890625,219.57406616210935,742.5950927734375,273.7156677246094,651.593994140625,276.29913330078125,771.221435546875,351.4739685058594,627.7109375,349.536376953125,769.2496948242188,426.89544677734375,628.85205078125,417.5926208496094,730.0347900390625,423.37646484375,671.6396484375,424.2400817871094,734.6307983398438,520.55615234375,681.9268798828125,520.5992431640625,731.7186279296875,598.7056274414062,694.1771850585938,598.2422485351562
