frame,joint1_x,joint1_y,joint2_x,joint2_y,joint3_x,joint3_y,joint4_x,joint4_y,joint5_x,joint5_y,joint6_x,joint6_y,joint7_x,joint7_y,joint8_x,joint8_y,joint9_x,joint9_y,joint10_x,joint10_y,joint11_x,joint11_y,joint12_x,joint12_y,joint13_x,joint13_y,joint14_x,joint14_y,joint15_x,joint15_y,joint16_x,joint16_y,joint17_x,joint17_y
0,0.0,0.0,0.0,0.0,0.0,0.0,1070.3714599609375,314.69970703125,0.0,0.0,1039.2623291015625,392.3406372070313,1156.6475830078125,395.5386352539063,1011.4365234375,484.6925354003906,1179.197265625,491.3060302734375,1009.563232421875,552.5701293945312,1173.341064453125,554.7745361328125,1052.6507568359375,568.181640625,1129.5394287109375,572.591552734375,1066.92138671875,667.9849853515625,1110.289306640625,689.3567504882812,1081.572265625,770.2645263671875,1088.519775390625,802.771240234375
1,0.0,0.0,0.0,0.0,0.0,0.0,1068.443359375,309.0383605957031,0.0,0.0,1037.91015625,386.3782958984375,1155.88720703125,390.19921875,1010.48828125,476.7627868652344,1178.2333984375,486.6773681640625,1008.4952392578124,542.0799560546875,1170.98681640625,548.7943115234375,1050.64599609375,563.072265625,1128.6322021484375,567.9902954101562,1064.229248046875,661.3269653320312,1111.46337890625,684.9069213867188,1080.322265625,764.7324829101562,1093.406005859375,800.7393798828125
2,0.0,0.0,0.0,0.0,0.0,0.0,1065.14501953125,304.4572448730469,0.0,0.0,1035.244384765625,376.7014770507813,1151.63427734375,383.1770324707031,1004.510009765625,461.9870910644531,1169.8096923828125,480.45599365234375,1006.708740234375,525.570556640625,1162.356689453125,537.61181640625,1044.162353515625,549.0650634765625,1122.610107421875,554.3673095703125,1055.932373046875,642.2255859375,1112.107421875,663.3148193359375,1067.561767578125,741.7647705078125,1099.514404296875,770.212890625
3,0.0,0.0,0.0,0.0,0.0,0.0,1060.0875244140625,296.9546203613281,0.0,0.0,1036.8802490234375,368.8038940429688,1147.189208984375,369.603271484375,1002.1397705078124,451.1650085449219,1162.25830078125,465.2165222167969,1007.1539306640624,509.7267456054688,1158.148193359375,519.8340454101562,1043.1279296875,533.7240600585938,1118.3177490234375,533.4052734375,1050.444091796875,632.205810546875,1109.60009765625,634.2740478515625,1059.44287109375,734.5801391601562,1106.015380859375,733.6008911132812
4,0.0,0.0,0.0,0.0,0.0,0.0,1056.606201171875,287.8628234863281,0.0,0.0,1037.6500244140625,358.476318359375,1145.1201171875,359.8580322265625,1000.5587158203124,431.7096862792969,1159.548583984375,455.5234375,1002.414794921875,482.243896484375,1153.1058349609375,510.1082763671875,1044.4111328125,524.6605224609375,1117.4805908203125,521.93798828125,1050.806640625,626.3125,1110.0401611328125,616.1279907226562,1057.1424560546875,730.375732421875,1109.7115478515625,709.55517578125
5,0.0,0.0,0.0,0.0,0.0,0.0,1054.290771484375,280.5216369628906,0.0,0.0,1036.737060546875,352.6265869140625,1143.519775390625,351.7296142578125,998.967041015625,424.8515625,1154.8079833984375,447.6089477539063,1004.9569702148438,465.1630859375,1148.7679443359375,494.71881103515625,1042.2982177734375,514.0947265625,1114.5963134765625,509.0983276367188,1050.0528564453125,616.079833984375,1106.20068359375,598.2877197265625,1056.6611328125,722.4835205078125,1103.46044921875,690.3028564453125
6,0.0,0.0,0.0,0.0,0.0,0.0,1057.15185546875,274.2487487792969,1112.484619140625,272.7685852050781,1034.749267578125,342.2934265136719,1141.321533203125,339.5145874023437,998.2686767578124,421.7654113769531,1154.0531005859375,429.9891357421875,999.6851806640624,447.0588989257813,1136.99951171875,490.4325256347656,1045.343994140625,501.8986206054688,1114.73193359375,499.552001953125,1051.272705078125,606.3323974609375,1093.6766357421875,603.3800048828125,1058.3623046875,704.9525146484375,1078.8194580078125,699.974609375
7,0.0,0.0,0.0,0.0,0.0,0.0,1060.3251953125,269.12109375,0.0,0.0,1040.94287109375,335.18121337890625,1139.8758544921875,334.8646240234375,1003.2646484375,414.32318115234375,1151.419189453125,424.8228149414063,996.973388671875,445.1498107910156,1132.8863525390625,484.5914611816406,1049.2738037109375,493.1556701660156,1112.330810546875,491.1632690429688,1051.9794921875,606.7012329101562,1078.3258056640625,604.8148193359375,1061.7684326171875,710.035400390625,1059.21923828125,706.5850830078125
8,0.0,0.0,0.0,0.0,0.0,0.0,1061.854736328125,259.0971374511719,0.0,0.0,1044.8248291015625,325.2911376953125,1142.456298828125,325.2302551269531,1007.0325927734376,399.3703002929688,1149.198974609375,418.9701232910156,999.3967895507812,453.4368286132813,1136.9697265625,471.2337646484375,1045.237548828125,481.2937316894531,1109.2518310546875,477.09869384765625,1050.04345703125,589.3646850585938,1087.602783203125,578.6024169921875,1061.356689453125,701.3901977539062,1070.1964111328125,679.10595703125
9,0.0,0.0,0.0,0.0,0.0,0.0,1064.17431640625,247.30458068847656,0.0,0.0,1047.6949462890625,312.61798095703125,1145.8114013671875,310.58160400390625,1011.4942016601562,389.4088439941406,1151.082763671875,400.771728515625,1004.4581909179688,447.1972961425781,1130.727294921875,450.8756713867188,1051.891357421875,467.2798461914063,1116.591552734375,463.5936584472656,1054.84423828125,567.7777709960938,1090.5838623046875,561.2142333984375,1059.30712890625,676.8074340820312,1071.447998046875,658.8966064453125
