frame,joint1_x,joint1_y,joint2_x,joint2_y,joint3_x,joint3_y,joint4_x,joint4_y,joint5_x,joint5_y,joint6_x,joint6_y,joint7_x,joint7_y,joint8_x,joint8_y,joint9_x,joint9_y,joint10_x,joint10_y,joint11_x,joint11_y,joint12_x,joint12_y,joint13_x,joint13_y,joint14_x,joint14_y,joint15_x,joint15_y,joint16_x,joint16_y,joint17_x,joint17_y
0,1143.2353515625,136.1214599609375,1144.89306640625,129.5285186767578,1137.8009033203125,127.6847686767578,0.0,0.0,1117.3909912109375,121.88655090332033,1122.086181640625,163.12042236328125,1091.829345703125,154.63656616210938,1116.279296875,223.846435546875,1069.3199462890625,216.5489044189453,1137.612060546875,269.74517822265625,1070.6519775390625,285.117919921875,1107.1904296875,277.277587890625,1085.22509765625,274.64990234375,1119.7421875,351.1070556640625,1074.3641357421875,348.2586364746094,1092.9677734375,412.0613708496094,1022.234130859375,409.9569396972656
1,1146.43115234375,135.8108673095703,1148.9967041015625,129.50550842285156,1141.334716796875,127.3474578857422,0.0,0.0,1122.0936279296875,123.07505798339844,1130.28466796875,165.00872802734375,1093.7486572265625,156.97650146484375,1123.366455078125,226.7343292236328,1070.447998046875,220.4336700439453,1143.5379638671875,272.7355651855469,1077.4141845703125,286.2286682128906,1110.748779296875,277.7159729003906,1084.4324951171875,274.7294006347656,1124.047119140625,350.3226928710937,1078.706298828125,347.2577514648437,1096.39208984375,413.7928161621094,1029.248291015625,410.6532897949219
2,1153.2928466796875,135.60902404785156,1156.6748046875,129.21658325195312,1147.389892578125,127.20420837402344,0.0,0.0,1126.8116455078125,123.37759399414062,1139.8614501953125,164.86434936523438,1098.6630859375,158.7476348876953,1134.1063232421875,225.07310485839844,1073.437255859375,221.73895263671875,1151.885498046875,273.42852783203125,1081.765625,285.8041381835937,1120.834716796875,280.5098876953125,1092.9833984375,278.9686279296875,1125.8463134765625,357.229248046875,1094.600341796875,356.1880187988281,1089.767333984375,417.5728149414063,1049.09716796875,416.9713745117188
3,1159.6500244140625,136.4587860107422,1162.006591796875,129.3795166015625,1153.211669921875,128.16360473632812,0.0,0.0,1131.27490234375,124.32215881347656,1147.2733154296875,162.86492919921875,1103.728515625,160.85455322265625,1151.58056640625,223.3892822265625,1078.1201171875,224.9010772705078,1164.473388671875,275.1518859863281,1082.19873046875,286.6929016113281,1124.3751220703125,277.7172546386719,1097.9549560546875,278.27606201171875,1118.960205078125,357.3485412597656,1108.3802490234375,358.7950439453125,1080.582275390625,419.2512817382813,1079.6829833984375,423.05511474609375
4,1164.17578125,137.13833618164062,1167.53173828125,130.056396484375,1157.8203125,128.67959594726562,0.0,0.0,1136.05126953125,124.70442199707033,1153.3179931640625,161.45127868652344,1106.613037109375,161.5810546875,1161.929931640625,218.37350463867188,1085.48974609375,226.69711303710935,1176.9931640625,269.0010681152344,1094.572509765625,282.99127197265625,1126.853759765625,274.1656494140625,1097.9403076171875,275.82489013671875,1124.3714599609375,356.9034118652344,1110.595703125,360.1802673339844,1095.588134765625,423.87689208984375,1091.2222900390625,430.5707702636719
5,1172.1016845703125,138.81101989746094,1177.9613037109375,132.0382537841797,1165.9580078125,129.5248565673828,0.0,0.0,1145.5458984375,126.14382934570312,1168.160888671875,169.58245849609375,1115.659912109375,166.29176330566406,1179.70458984375,225.0686187744141,1088.6204833984375,227.78274536132807,1200.576171875,274.5295715332031,1092.259033203125,285.5557861328125,1138.7421875,279.1815185546875,1107.500244140625,279.67315673828125,1120.3515625,362.60638427734375,1115.827392578125,364.87005615234375,1104.1024169921875,435.3579711914063,1116.732177734375,441.7143859863281
6,1176.506591796875,140.60935974121094,1182.05615234375,133.6800537109375,1170.6014404296875,131.42388916015625,0.0,0.0,1150.4859619140625,127.5819854736328,1172.37060546875,169.81686401367188,1119.4619140625,166.5380859375,1185.427978515625,226.46078491210935,1089.1123046875,225.7200927734375,1205.125732421875,278.4657897949219,1090.7745361328125,279.2249755859375,1140.75390625,277.265869140625,1109.984375,277.8363342285156,1119.644287109375,361.6516723632813,1119.7916259765625,364.2569274902344,1101.9090576171875,434.3480529785156,1123.300537109375,441.7695007324219
7,1182.641845703125,141.0590362548828,1187.5623779296875,134.12188720703125,1176.3438720703125,132.5305938720703,0.0,0.0,1156.4052734375,129.514404296875,1180.272705078125,170.84564208984375,1126.9735107421875,167.53921508789062,1187.3670654296875,228.72866821289065,1095.0172119140625,230.36459350585935,1198.5960693359375,280.0408020019531,1099.194091796875,291.1942443847656,1151.376220703125,284.1151733398437,1119.92041015625,283.2727355957031,1128.4212646484375,363.786865234375,1122.442626953125,363.8907165527344,1109.502685546875,433.23138427734375,1123.76708984375,437.0523681640625
8,1183.135009765625,141.23146057128906,1189.0067138671875,134.3257598876953,1176.493896484375,132.50421142578125,0.0,0.0,1156.93896484375,129.45347595214844,1185.19140625,172.23641967773438,1128.59912109375,167.92819213867188,1190.0938720703125,232.44000244140625,1096.3831787109375,232.2669677734375,1194.92822265625,283.3564453125,1098.31689453125,294.330078125,1155.298583984375,286.0505065917969,1121.36669921875,284.5609130859375,1132.822998046875,365.30029296875,1124.385986328125,364.7756652832031,1109.7005615234375,433.40966796875,1121.720703125,436.4766540527344
9,1188.7979736328125,140.33587646484375,1194.25,133.38192749023438,1181.1748046875,131.77679443359375,0.0,0.0,1160.6513671875,130.08056640625,1191.4605712890625,174.91607666015625,1136.10595703125,168.4525909423828,1194.4798583984375,236.579345703125,1105.359619140625,229.39727783203125,1195.29052734375,290.2222900390625,1104.36181640625,293.80889892578125,1163.1494140625,289.8443603515625,1129.2969970703125,286.8563842773437,1141.4404296875,367.3758544921875,1129.2647705078125,364.8201599121094,1114.61962890625,433.76654052734375,1119.8001708984375,433.5810241699219
