SIL              sil
take_cup         take
take_plate       take
take_bowl        take
take_egg         take
take_fork        take
take_knife       take
take_spoon       take
take_butter      take
take_cheese      take
take_bread       take
put_cup          put
put_plate        put
put_bowl         put
put_egg          put
put_fork         put
put_knife        put
put_spoon        put
put_butter       put
put_cheese       put
put_bread        put
pour_milk        pour
pour_cereals     pour
pour_coffee      pour
pour_oil         pour
pour_water       pour
stir_cereals     stir
stir_tea         stir
stir_egg         stir
stir_pancake     stir
spoon_powder     spoon
spoon_sugar      spoon
spoon_flour      spoon
spoon_tea        spoon
add_teabag       add
add_salt         add
add_pepper       add
cut_orange       cut
cut_bun          cut
cut_cheese       cut
cut_fruit        cut
crack_egg        crack
fry_egg          fry
fry_pancake      fry
butter_pan       butter
butter_bread     butter
smear_butter     butter
