frame,person_detected,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,True,977.5931396484375,161.6085662841797,0.9790533185005188,983.2235107421875,156.2559814453125,0.9477962255477905,971.865478515625,155.7244415283203,0.9550349712371826,991.6634521484375,157.94366455078125,0.7135058641433716,960.5091552734375,156.9227294921875,0.7735555171966553,1005.130859375,186.6730499267578,0.9967108964920044,939.993896484375,185.24557495117188,0.9975130558013916,1024.493896484375,218.70932006835938,0.9775116443634033,910.641845703125,217.59945678710938,0.9844838976860046,1020.329833984375,240.54721069335938,0.9634987115859985,913.7184448242188,242.95462036132812,0.9708592295646667,990.6516723632812,268.877685546875,0.9972321391105652,947.6288452148438,268.61834716796875,0.9974495768547058,1001.1005859375,309.0027770996094,0.9912086725234985,947.8135986328125,308.4383544921875,0.9919799566268921,995.0341186523438,367.3616638183594,0.9690918326377869,943.1275634765625,367.58367919921875,0.971621036529541
1,True,977.744873046875,161.39524841308594,0.9780785441398621,983.4453125,156.00924682617188,0.9431766867637634,971.83251953125,155.36163330078125,0.9558279514312744,991.6704711914062,157.936279296875,0.6866068243980408,960.0042114257812,156.5607147216797,0.7869435548782349,1004.1412353515625,187.3289794921875,0.9963182210922241,939.2847290039062,185.41062927246094,0.9974061846733093,1022.0230712890625,221.0409393310547,0.9746506810188293,910.43212890625,219.76803588867188,0.9845113754272461,1019.72705078125,240.59793090820312,0.9597052335739136,914.9111328125,244.51808166503906,0.9705285429954529,989.7130737304688,269.65087890625,0.9967730641365051,946.8726196289062,269.37933349609375,0.9971292614936829,1001.438720703125,306.677734375,0.9897500872612,948.3050537109375,306.09490966796875,0.9910082221031189,994.2911376953125,365.9707946777344,0.965064287185669,942.5616455078125,366.0010070800781,0.9687798023223877
2,True,978.385498046875,159.6485137939453,0.9780988693237305,983.8072509765625,154.26165771484375,0.9385882616043091,972.31982421875,153.7462921142578,0.9590759873390198,991.3863525390625,156.36566162109375,0.6573352217674255,960.28125,155.24020385742188,0.8114834427833557,1002.875732421875,186.7222137451172,0.9959980249404907,940.253173828125,184.28416442871094,0.9975754618644714,1018.2879638671875,222.45932006835938,0.9704778790473938,911.7430419921875,218.84353637695312,0.9861124157905579,1017.7300415039062,241.6822509765625,0.9542360305786133,916.4176025390625,241.38693237304688,0.972480058670044,988.302734375,268.27960205078125,0.9965394735336304,946.8839111328125,267.85345458984375,0.9971567392349243,1000.582763671875,307.73126220703125,0.9889281988143921,948.397216796875,307.031005859375,0.9910773038864136,993.9490966796875,366.96368408203125,0.9624173641204834,941.6127319335938,366.935791015625,0.9683293104171753
3,True,978.2166137695312,159.38941955566406,0.9778087735176086,983.7034912109375,154.06692504882812,0.9369168281555176,972.202392578125,153.4654541015625,0.9591878652572632,991.3267822265625,156.41830444335938,0.6497215032577515,960.165283203125,155.04808044433594,0.8138874173164368,1002.584716796875,187.013671875,0.9958235025405884,939.988525390625,184.31410217285156,0.9975637197494507,1017.4217529296875,222.51983642578125,0.9687597751617432,911.667236328125,218.70974731445312,0.9862542152404785,1016.73291015625,241.1015167236328,0.952023446559906,916.880126953125,241.1734619140625,0.9725277423858643,988.18408203125,268.9250183105469,0.9963830709457397,946.7158813476562,268.42730712890625,0.9970893263816833,1000.322998046875,308.97723388671875,0.9882912039756775,948.161376953125,308.2021484375,0.9907726049423218,993.91943359375,367.26837158203125,0.960281491279602,941.4677124023438,367.1910095214844,0.9670436978340149
4,True,977.613037109375,159.23483276367188,0.9782921671867371,983.2044677734375,153.85386657714844,0.9360963106155396,971.4725341796875,153.28945922851562,0.9614589214324951,990.8316650390625,156.25144958496094,0.6379839777946472,959.270263671875,154.88821411132812,0.8259376287460327,1001.054443359375,186.82943725585938,0.9957467913627625,939.22607421875,184.21347045898438,0.9976636171340942,1013.9847412109375,222.16455078125,0.9674865007400513,910.5847778320312,218.73550415039062,0.9870930314064026,1016.0362548828125,240.4647216796875,0.9508458375930786,916.2683715820312,241.59164428710938,0.9738823771476746,987.1507568359375,268.19482421875,0.9963162541389465,946.1558837890625,267.906982421875,0.9971238970756531,1000.1314697265625,308.1082458496094,0.9880505204200745,948.2421875,307.5399169921875,0.9908848404884338,994.2493286132812,366.7759094238281,0.95960932970047,941.5703125,366.91192626953125,0.967224657535553
5,True,976.5367431640625,158.8032989501953,0.9790200591087341,982.106689453125,153.57484436035156,0.9378788471221924,970.6531982421875,152.9678955078125,0.9618030786514282,989.8917236328125,155.92149353027344,0.6468315124511719,958.9283447265625,154.41085815429688,0.8247408270835876,1000.1218872070312,185.77188110351562,0.9960265159606934,938.9082641601562,183.34327697753906,0.9978330731391907,1012.9198608398438,219.9528350830078,0.9695681929588318,909.8763427734375,217.07542419433594,0.9881077408790588,1015.7244873046875,240.64263916015625,0.9538446664810181,914.672607421875,242.169189453125,0.9758137464523315,987.4663696289062,266.4621887207031,0.9967255592346191,946.75,266.34112548828125,0.9974576830863953,1000.4415283203125,311.1964416503906,0.9890144467353821,948.5055541992188,310.85400390625,0.9916640520095825,995.29541015625,368.15850830078125,0.9610921144485474,941.2218017578125,368.629638671875,0.968565046787262
6,True,975.8497924804688,159.26353454589844,0.9791573882102966,981.4554443359375,154.0621337890625,0.9394909143447876,969.9834594726562,153.36929321289062,0.961055338382721,989.4949951171875,156.7046356201172,0.6569082736968994,958.4261474609375,155.0221710205078,0.8185494542121887,1000.3500366210938,187.10540771484375,0.996229350566864,938.5226440429688,183.94065856933594,0.997850775718689,1013.7286376953125,221.80868530273438,0.9711814522743225,909.8463134765625,217.62411499023438,0.9878892302513123,1016.1827392578125,241.28018188476562,0.955944299697876,915.2423095703125,242.8113555908203,0.9756827354431152,987.4954833984375,266.70562744140625,0.9969883561134338,946.3905029296875,266.2322082519531,0.9976069927215576,1001.3995361328125,308.6174011230469,0.9905879497528076,948.2734375,307.7333984375,0.9927033185958862,996.6610107421875,368.8370361328125,0.967646062374115,941.6475830078125,368.44189453125,0.9734936952590942
7,True,975.4758911132812,161.56301879882812,0.9779301881790161,980.707275390625,156.14991760253906,0.9339364767074585,969.2184448242188,155.67295837402344,0.9608832597732544,987.893310546875,158.11822509765625,0.628427267074585,956.82861328125,157.0243377685547,0.8301112651824951,999.1528930664062,187.81622314453125,0.9962165951728821,936.9669189453125,185.50152587890625,0.997860848903656,1014.1640625,222.08042907714844,0.9720374941825867,908.9713134765625,219.23208618164062,0.9883859157562256,1016.4774169921875,240.91429138183594,0.957457423210144,915.83203125,242.88189697265625,0.9767334461212158,987.5592041015625,267.9852294921875,0.9971354007720947,946.2930908203125,268.00555419921875,0.9977208971977234,1002.7088623046875,306.0738525390625,0.9914202690124512,948.7379150390625,305.66522216796875,0.9933544397354126,997.790283203125,369.24029541015625,0.9710704684257507,942.5828857421875,369.3095397949219,0.9763175249099731
8,True,975.0252685546875,162.529052734375,0.9779566526412964,980.1177978515625,156.97315979003906,0.9332595467567444,968.55859375,156.60997009277344,0.9617444276809692,987.0192260742188,158.35665893554688,0.6208194494247437,955.8396606445312,157.54856872558594,0.8364254832267761,998.5765380859375,187.5773162841797,0.9961828589439392,936.2646484375,185.62998962402344,0.9978620409965515,1014.1506958007812,222.5387420654297,0.9716872572898865,908.8848876953125,220.112548828125,0.9884203672409058,1016.3251953125,241.4937744140625,0.9570678472518921,916.21484375,243.1600341796875,0.9768043160438538,987.5985107421875,267.8019104003906,0.9970858693122864,946.2821044921875,267.99267578125,0.9976904392242432,1002.6791381835938,306.1376953125,0.9912876486778259,948.65625,305.89788818359375,0.9932792782783508,997.6360473632812,369.2337341308594,0.9706851840019226,942.61767578125,369.4629821777344,0.9760652184486389
9,True,975.3525390625,162.8858642578125,0.9776841402053833,980.355224609375,157.27610778808594,0.9314109086990356,968.7474365234375,156.94491577148438,0.962405264377594,986.7716064453125,158.4748992919922,0.6086421608924866,955.6309814453125,157.76568603515625,0.843214750289917,997.963623046875,187.32916259765625,0.9961252808570862,936.20654296875,185.80670166015625,0.9978570342063904,1014.1746826171875,222.01194763183594,0.9714392423629761,909.5234985351562,220.50775146484375,0.9885381460189819,1016.2203369140625,240.70590209960938,0.9568144083023071,916.049560546875,243.2003173828125,0.9769554138183594,987.4374389648438,267.6082763671875,0.9970531463623047,946.44287109375,268.01837158203125,0.9976744055747986,1002.5634765625,305.3138427734375,0.9912251830101013,948.4700927734375,305.324462890625,0.9932505488395691,997.9444580078125,369.0101318359375,0.9705971479415894,942.3488159179688,369.54437255859375,0.976030707359314
