frame,person_detected,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,True,227.77940368652344,38.537689208984375,0.8982939124107361,230.27162170410156,29.5758056640625,0.9347418546676636,0.0,0.0,0.18277883529663086,252.01681518554688,26.077476501464844,0.9207144379615784,0.0,0.0,0.008167407475411892,276.45550537109375,72.47883605957031,0.9305539727210999,254.1524200439453,73.13162994384766,0.8764227032661438,270.6939392089844,145.98419189453125,0.8117230534553528,239.20230102539062,133.9550018310547,0.62762451171875,233.01950073242188,214.5133514404297,0.733853280544281,221.8397979736328,160.2974853515625,0.6081787347793579,270.4727783203125,178.6126708984375,0.7418161034584045,255.59381103515625,174.83859252929688,0.7123736143112183,0.0,0.0,0.19898861646652222,0.0,0.0,0.18644824624061584,0.0,0.0,0.022269288077950478,0.0,0.0,0.026206262409687042
1,True,228.0772705078125,35.78369140625,0.8983111381530762,230.89633178710938,27.237838745117188,0.9527364373207092,0.0,0.0,0.12162022292613983,252.04843139648438,25.529190063476562,0.9706807136535645,0.0,0.0,0.006356257479637861,267.43597412109375,70.12773895263672,0.9638193249702454,268.1745910644531,69.4056167602539,0.818372905254364,271.3840637207031,140.0498504638672,0.9253415465354919,0.0,0.0,0.4796731173992157,242.39590454101562,211.31056213378906,0.8562837839126587,0.0,0.0,0.49536535143852234,265.9068603515625,187.45819091796875,0.842766284942627,265.94940185546875,183.81600952148438,0.7098597288131714,0.0,0.0,0.1089605763554573,0.0,0.0,0.06408555805683136,0.0,0.0,0.0045257494784891605,0.0,0.0,0.003941730130463839
2,True,228.3093719482422,34.76268005371094,0.9284603595733643,231.8692626953125,27.158782958984375,0.9637091159820557,0.0,0.0,0.2026921659708023,253.32423400878906,26.617713928222656,0.9603239297866821,0.0,0.0,0.006686007138341665,274.988525390625,68.44779205322266,0.9718511700630188,255.19534301757812,69.75894927978516,0.8360220193862915,288.91632080078125,131.38717651367188,0.9493488669395447,245.23214721679688,128.37950134277344,0.5527272820472717,265.9087219238281,192.4683837890625,0.9116870760917664,223.05531311035156,159.77073669433594,0.5706101059913635,263.4884033203125,183.9705810546875,0.9179871678352356,250.49185180664062,180.6637420654297,0.8178809881210327,0.0,0.0,0.17926537990570068,0.0,0.0,0.09829981625080109,0.0,0.0,0.006887572817504406,0.0,0.0,0.005435329396277666
3,True,227.8077392578125,36.9908447265625,0.937895655632019,230.13365173339844,28.002685546875,0.9732435345649719,0.0,0.0,0.20768438279628754,250.74514770507812,24.416122436523438,0.9765890836715698,0.0,0.0,0.00835508294403553,266.6775207519531,68.20207977294922,0.97468501329422,263.7278747558594,69.49693298339844,0.8223018050193787,269.3013000488281,134.40707397460938,0.9403156042098999,0.0,0.0,0.43277236819267273,246.73114013671875,195.741455078125,0.8919012546539307,0.0,0.0,0.46587997674942017,259.29156494140625,181.570556640625,0.8905400037765503,257.49542236328125,178.8003692626953,0.7534912824630737,0.0,0.0,0.1783600151538849,0.0,0.0,0.08899053931236267,0.0,0.0,0.007755370810627937,0.0,0.0,0.005706010386347771
4,True,228.17808532714844,36.305442810058594,0.9566231369972229,230.7930145263672,27.96990966796875,0.9788303971290588,0.0,0.0,0.26236677169799805,251.09713745117188,24.819686889648438,0.9719514846801758,0.0,0.0,0.00640852889046073,272.9864807128906,66.03373718261719,0.9840766787528992,255.0845489501953,68.88810729980469,0.8595569729804993,292.64752197265625,128.28250122070312,0.978773295879364,246.8941192626953,126.29777526855469,0.6088617444038391,262.0845642089844,183.25357055664062,0.9681195616722107,223.49533081054688,159.34786987304688,0.6768700480461121,257.9745788574219,184.82745361328125,0.9473523497581482,246.3590850830078,182.06295776367188,0.8477137088775635,0.0,0.0,0.17849935591220856,0.0,0.0,0.0774817168712616,0.0,0.0,0.004403355997055769,0.0,0.0,0.0029055450577288866
5,True,226.83839416503906,36.64398956298828,0.953875720500946,229.87322998046875,28.368499755859375,0.9824023842811584,0.0,0.0,0.22620739042758942,251.6930694580078,25.23553466796875,0.9802011847496033,0.0,0.0,0.005374311003834009,269.7374267578125,66.68485260009766,0.9860884547233582,256.95233154296875,68.20478820800781,0.7973620891571045,281.5141296386719,129.7448272705078,0.9757212400436401,0.0,0.0,0.3913348913192749,258.6235046386719,179.71359252929688,0.9588978290557861,0.0,0.0,0.489999383687973,257.4388122558594,176.23858642578125,0.9547959566116333,250.32713317871094,174.06268310546875,0.8347214460372925,0.0,0.0,0.38202622532844543,0.0,0.0,0.15532317757606506,0.0,0.0,0.01674969680607319,0.0,0.0,0.009231899864971638
6,True,226.5683135986328,35.47216033935547,0.9614892601966858,229.7222900390625,27.625473022460938,0.9862529635429382,0.0,0.0,0.26504063606262207,251.4046173095703,26.150253295898438,0.9837694764137268,0.0,0.0,0.006107126362621784,272.3831787109375,66.28581237792969,0.9881468415260315,254.248779296875,69.65719604492188,0.8180308938026428,289.494140625,125.78919982910156,0.976764976978302,0.0,0.0,0.3742496073246002,261.8354187011719,174.1621551513672,0.9551266431808472,0.0,0.0,0.39415445923805237,259.67218017578125,175.48902893066406,0.9592799544334412,248.90890502929688,173.93661499023438,0.8428994417190552,0.0,0.0,0.37821173667907715,0.0,0.0,0.14663760364055634,0.0,0.0,0.016066258773207664,0.0,0.0,0.008679419755935669
7,True,225.78924560546875,36.50047302246094,0.9594298601150513,228.47679138183594,28.35772705078125,0.9856439828872681,0.0,0.0,0.2422453612089157,250.3827362060547,25.115386962890625,0.980138897895813,0.0,0.0,0.004325797315686941,272.9360656738281,66.09217834472656,0.9860959649085999,252.2390899658203,68.61532592773438,0.7716605067253113,287.96856689453125,129.7147674560547,0.9798769354820251,0.0,0.0,0.3650672137737274,248.59799194335938,170.43357849121094,0.9690054059028625,0.0,0.0,0.4565846920013428,257.3847351074219,180.28884887695312,0.9533613324165344,244.36732482910156,178.04327392578125,0.8147242069244385,0.0,0.0,0.35458293557167053,0.0,0.0,0.12632828950881958,0.0,0.0,0.015150651335716248,0.0,0.0,0.007768526207655668
8,True,225.76632690429688,37.06645202636719,0.937006413936615,228.75086975097656,29.423263549804688,0.9806886911392212,0.0,0.0,0.19574499130249023,249.19525146484375,25.871925354003906,0.9852063059806824,0.0,0.0,0.005669781938195229,268.6028137207031,65.54048919677734,0.9882476925849915,256.4247131347656,66.40078735351562,0.7342617511749268,272.95770263671875,127.37163543701172,0.9724115133285522,0.0,0.0,0.23499618470668793,235.9781036376953,174.8489227294922,0.9305552840232849,0.0,0.0,0.26050910353660583,257.54803466796875,174.54457092285156,0.956390917301178,249.58383178710938,171.23507690429688,0.8180451393127441,251.99612426757812,230.58132934570312,0.5080103874206543,0.0,0.0,0.20196133852005005,0.0,0.0,0.04112810641527176,0.0,0.0,0.020258735865354538
9,True,225.60025024414062,35.398956298828125,0.9291027784347534,228.69070434570312,28.08507537841797,0.9775980114936829,0.0,0.0,0.19971808791160583,248.137939453125,25.954025268554688,0.973365068435669,0.0,0.0,0.004862419329583645,269.0976867675781,65.00375366210938,0.9783745408058167,249.7714080810547,68.58452606201172,0.5781447887420654,282.9491882324219,123.52236938476562,0.9658350944519043,0.0,0.0,0.1549854576587677,240.55381774902344,158.69334411621094,0.937224268913269,0.0,0.0,0.18183645606040955,258.3122253417969,175.2982635498047,0.9318691492080688,245.87039184570312,173.52426147460938,0.7016055583953857,0.0,0.0,0.4416477680206299,0.0,0.0,0.1403464823961258,0.0,0.0,0.03663935884833336,0.0,0.0,0.01608814112842083
10,True,222.45562744140625,34.13935089111328,0.9522168636322021,226.07025146484375,26.678306579589844,0.9871764779090881,0.0,0.0,0.22209890186786652,248.3097381591797,24.761253356933594,0.9819825887680054,0.0,0.0,0.0035542042460292578,270.3441162109375,65.43141174316406,0.9843517541885376,247.7507781982422,67.9339828491211,0.5853344202041626,282.39373779296875,126.74710083007812,0.9789779186248779,0.0,0.0,0.16074615716934204,226.44175720214844,147.52188110351562,0.9676492214202881,0.0,0.0,0.2528563439846039,258.0657653808594,175.9864959716797,0.9521401524543762,243.2339324951172,173.56320190429688,0.749947190284729,254.3597869873047,232.66677856445312,0.5176675915718079,0.0,0.0,0.1644858568906784,0.0,0.0,0.03728802874684334,0.0,0.0,0.015196077525615692
11,True,222.1259765625,34.400596618652344,0.9306434392929077,225.79454040527344,27.248748779296875,0.9796939492225647,0.0,0.0,0.17294135689735413,247.38734436035156,26.198562622070312,0.9818860292434692,0.0,0.0,0.0035827939864248037,269.3800964355469,66.55815124511719,0.986989438533783,246.12245178222656,68.88851928710938,0.6630316972732544,281.1767578125,127.28656005859375,0.9772328734397888,0.0,0.0,0.1913614273071289,231.6810302734375,142.07032775878906,0.9507342576980591,0.0,0.0,0.2157202959060669,255.10043334960938,178.21792602539062,0.9612247943878174,239.5761260986328,176.038330078125,0.8090922236442566,251.2389373779297,232.5321502685547,0.5368964672088623,0.0,0.0,0.1941135674715042,0.0,0.0,0.044652361422777176,0.0,0.0,0.01973971351981163
12,True,219.7050018310547,36.57432556152344,0.9654843807220459,223.51446533203125,29.54132080078125,0.991313636302948,0.0,0.0,0.27988794445991516,245.36868286132812,27.27845001220703,0.9872139692306519,0.0,0.0,0.004131987690925598,266.7599792480469,64.39484405517578,0.9883281588554382,246.84994506835938,65.78311920166016,0.649941623210907,274.64385986328125,120.55795288085938,0.9823846220970154,0.0,0.0,0.18942901492118835,219.7102508544922,132.14306640625,0.9741448760032654,0.0,0.0,0.34189146757125854,254.6889190673828,167.9436492919922,0.9733943343162537,241.15866088867188,164.44906616210938,0.8509858250617981,252.07489013671875,229.12933349609375,0.7366816997528076,0.0,0.0,0.34658318758010864,0.0,0.0,0.08652599155902863,0.0,0.0,0.03731059655547142
13,True,219.033203125,38.084808349609375,0.9653599262237549,221.51226806640625,31.228042602539062,0.9894235730171204,0.0,0.0,0.30927348136901855,241.33456420898438,27.80980682373047,0.9827545285224915,0.0,0.0,0.006182533223181963,264.1568603515625,63.47306823730469,0.9868687987327576,245.680908203125,64.28541564941406,0.7245543599128723,266.7048034667969,119.83692932128906,0.9795182347297668,0.0,0.0,0.26035046577453613,213.5279541015625,126.39633178710938,0.9716073274612427,0.0,0.0,0.41536226868629456,251.40042114257812,163.81265258789062,0.9766666889190674,238.2602081298828,159.94924926757812,0.8879588842391968,250.45994567871094,223.28025817871094,0.7937644720077515,0.0,0.0,0.46273723244667053,0.0,0.0,0.12419097870588303,0.0,0.0,0.06118740886449814
14,True,216.6355743408203,39.082489013671875,0.9653100371360779,219.5607147216797,32.34325408935547,0.9884729981422424,0.0,0.0,0.3347792625427246,239.0155029296875,29.438583374023438,0.9821240305900574,0.0,0.0,0.00771064218133688,259.6156921386719,64.38765716552734,0.9886577725410461,239.06678771972656,67.26316833496094,0.7651136517524719,260.64788818359375,117.83485412597656,0.9816802740097046,0.0,0.0,0.29443836212158203,209.34739685058594,124.8453140258789,0.973680853843689,0.0,0.0,0.45275819301605225,247.2288360595703,161.507568359375,0.9799354672431946,233.49209594726562,159.4997100830078,0.902985692024231,248.0579833984375,222.96829223632812,0.8103089928627014,0.0,0.0,0.49146950244903564,0.0,0.0,0.12614431977272034,0.0,0.0,0.061525795608758926
15,True,213.71563720703125,40.158294677734375,0.9374644160270691,217.16253662109375,33.773902893066406,0.9822699427604675,0.0,0.0,0.25549304485321045,236.4648895263672,32.72267150878906,0.9821293950080872,0.0,0.0,0.006749789230525494,256.2643737792969,65.47918701171875,0.9838054180145264,237.33270263671875,68.7017822265625,0.6906249523162842,256.87652587890625,112.84156799316406,0.9616455435752869,0.0,0.0,0.19142168760299683,213.43043518066406,123.9346923828125,0.9263401031494141,0.0,0.0,0.25856906175613403,246.62713623046875,154.9047088623047,0.9798945784568787,233.2268829345703,152.97193908691406,0.9114757776260376,246.71388244628906,212.10520935058594,0.8764014840126038,236.00308227539062,207.87200927734375,0.6356242299079895,0.0,0.0,0.2949163317680359,0.0,0.0,0.16712597012519836
16,True,210.0736541748047,41.08686065673828,0.958071768283844,214.81687927246094,35.35282897949219,0.9863909482955933,0.0,0.0,0.37414681911468506,234.96913146972656,35.82325744628906,0.9839206337928772,0.0,0.0,0.011157484725117683,250.65847778320312,68.28562927246094,0.9880580902099609,235.46473693847656,67.29000854492188,0.7299132347106934,255.0427703857422,113.33583068847656,0.9654538035392761,0.0,0.0,0.22370269894599915,233.8451690673828,109.3028335571289,0.9375850558280945,0.0,0.0,0.29594042897224426,241.1167449951172,153.062255859375,0.975688099861145,230.86412048339844,150.18862915039062,0.8919344544410706,241.36929321289062,213.98965454101562,0.8728216886520386,235.32875061035156,208.380126953125,0.6292246580123901,0.0,0.0,0.2763986885547638,0.0,0.0,0.15171384811401367
17,True,207.945556640625,42.97932434082031,0.9317436218261719,211.57212829589844,37.133148193359375,0.9755703806877136,0.0,0.0,0.30682456493377686,230.20782470703125,35.793678283691406,0.9749944806098938,0.0,0.0,0.011897855438292027,248.58981323242188,66.57966613769531,0.9839479327201843,230.7320098876953,66.57881927490234,0.7174644470214844,254.08212280273438,112.41204071044922,0.953664243221283,0.0,0.0,0.2272946983575821,234.0697479248047,110.5612564086914,0.908822774887085,0.0,0.0,0.2678391635417938,239.283935546875,153.03915405273438,0.9767972826957703,227.24478149414062,150.82415771484375,0.907611072063446,239.04127502441406,212.1881866455078,0.889404296875,229.84579467773438,208.3309326171875,0.6868938207626343,0.0,0.0,0.34995293617248535,0.0,0.0,0.2109137624502182
18,True,203.74432373046875,43.766632080078125,0.9373695254325867,206.0390625,37.76262664794922,0.9773218035697937,0.0,0.0,0.2426743507385254,223.26956176757812,35.488800048828125,0.9768236875534058,0.0,0.0,0.012565037235617638,240.8546142578125,68.47547912597656,0.9878437519073486,230.48001098632812,68.46919250488281,0.7382998466491699,231.2247314453125,117.24757385253906,0.9781891703605652,0.0,0.0,0.2504960596561432,180.95091247558594,123.88189697265625,0.958896279335022,0.0,0.0,0.3623480498790741,235.89942932128906,158.07504272460938,0.9780962467193604,227.73216247558594,155.08668518066406,0.8956206440925598,238.26492309570312,219.63772583007812,0.8316240906715393,231.4921112060547,214.2200469970703,0.5298521518707275,0.0,0.0,0.16555696725845337,0.0,0.0,0.08303138613700867
19,True,201.44776916503906,45.25126647949219,0.9623823761940002,204.30929565429688,39.02288818359375,0.9820495247840881,0.0,0.0,0.46375367045402527,221.8730926513672,36.63763427734375,0.9680783748626709,0.0,0.0,0.020339326933026314,242.9613037109375,67.46411895751953,0.9829035401344299,221.5082244873047,70.90122985839844,0.8668596744537354,252.13499450683594,109.25765991210938,0.9498655200004578,0.0,0.0,0.44702059030532837,225.76821899414062,111.61410522460938,0.9273920655250549,183.3015899658203,120.41084289550781,0.5067817568778992,233.94935607910156,155.0478973388672,0.9791699647903442,220.69325256347656,153.61428833007812,0.9419190883636475,235.09799194335938,216.1173553466797,0.8709089159965515,225.07891845703125,212.44825744628906,0.7313255071640015,0.0,0.0,0.2504546344280243,0.0,0.0,0.18163321912288666
20,True,198.655029296875,44.757606506347656,0.969331681728363,203.15411376953125,38.582000732421875,0.9887944459915161,0.0,0.0,0.3859904408454895,223.46656799316406,38.30213165283203,0.9849624633789062,0.0,0.0,0.013744414784014225,237.54537963867188,71.03437805175781,0.9915999174118042,224.07192993164062,72.7159194946289,0.8457065224647522,223.55120849609375,114.8691635131836,0.9821876287460327,0.0,0.0,0.36685919761657715,179.5633544921875,125.31915283203125,0.9686154723167419,0.0,0.0,0.4901197850704193,231.6536102294922,157.2194366455078,0.9860252737998962,221.8674774169922,155.16845703125,0.939216136932373,231.77085876464844,218.6546630859375,0.8862041234970093,226.20474243164062,214.61000061035156,0.6637028455734253,0.0,0.0,0.2269851416349411,0.0,0.0,0.12605129182338715
21,True,196.9031982421875,47.17322540283203,0.9631927013397217,200.244873046875,40.31878662109375,0.9807568788528442,0.0,0.0,0.36145180463790894,218.7991943359375,37.729820251464844,0.971504807472229,0.0,0.0,0.01647941768169403,234.2953643798828,70.06145477294922,0.989540159702301,220.93748474121094,72.35195922851562,0.9016442894935608,220.98199462890625,115.55968475341797,0.9821349382400513,205.81515502929688,113.0408706665039,0.5847746729850769,176.81576538085938,125.99913024902344,0.9748846888542175,172.94754028320312,120.07543182373047,0.6975793838500977,229.20733642578125,160.43539428710938,0.9871024489402771,219.75924682617188,158.81195068359375,0.957322359085083,229.74093627929688,225.19210815429688,0.8281629085540771,224.25357055664062,221.3953857421875,0.6201813817024231,0.0,0.0,0.11249334365129471,0.0,0.0,0.07127443701028824
22,True,195.69332885742188,47.616111755371094,0.9602075219154358,198.86277770996094,40.95100402832031,0.9796860814094543,0.0,0.0,0.34307634830474854,217.00448608398438,38.010597229003906,0.9713005423545837,0.0,0.0,0.015537608414888382,233.82969665527344,70.45817565917969,0.9902933835983276,218.15792846679688,72.00686645507812,0.8978025913238525,221.51882934570312,116.40837860107422,0.9833855032920837,205.5105438232422,112.54380798339844,0.5657163858413696,175.77719116210938,124.65753173828125,0.9756227135658264,173.23216247558594,119.61649322509766,0.679865300655365,228.33258056640625,158.5785369873047,0.9882551431655884,217.35301208496094,156.67913818359375,0.9589360952377319,230.44296264648438,219.67645263671875,0.8671524524688721,221.9851837158203,215.5845947265625,0.6772926449775696,0.0,0.0,0.16378970444202423,0.0,0.0,0.10244598239660263
