frame,person_detected,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,True,215.0281219482422,73.93101501464844,0.9437808990478516,214.7728271484375,68.09867858886719,0.9705246090888977,212.99307250976562,71.76068115234375,0.5029089450836182,225.25730895996094,59.83046340942383,0.9622827172279358,0.0,0.0,0.05183988809585571,250.0325164794922,77.76703643798828,0.9852963089942932,234.0832977294922,84.08636474609375,0.8529168963432312,252.2353057861328,115.45198822021484,0.9460043907165527,0.0,0.0,0.4093727767467499,230.4927520751953,138.79782104492188,0.8663654923439026,0.0,0.0,0.37471652030944824,256.2852783203125,146.53233337402344,0.9234830737113953,244.8843536376953,146.7406463623047,0.8035871982574463,0.0,0.0,0.4250241816043854,0.0,0.0,0.21847689151763916,0.0,0.0,0.053716033697128296,0.0,0.0,0.03411482274532318
1,True,214.92526245117188,73.94322204589844,0.94101482629776,214.7312774658203,68.19023895263672,0.9696025848388672,0.0,0.0,0.4886191785335541,225.24978637695312,59.904632568359375,0.9617267847061157,0.0,0.0,0.04886988177895546,250.06056213378906,77.67739868164062,0.984789252281189,234.2296142578125,84.13487243652344,0.8412438631057739,252.98831176757812,115.14970397949219,0.945258617401123,0.0,0.0,0.3904017210006714,231.89828491210938,139.9628448486328,0.8639134168624878,0.0,0.0,0.3606190085411072,256.4996032714844,147.2664794921875,0.9264258146286011,245.24227905273438,147.5482177734375,0.8059584498405457,0.0,0.0,0.4400636553764343,0.0,0.0,0.22532233595848083,0.0,0.0,0.056034453213214874,0.0,0.0,0.035113926976919174
2,True,215.03819274902344,73.69259643554688,0.9375452399253845,214.73348999023438,67.79228210449219,0.9713403582572937,0.0,0.0,0.4788411855697632,225.17041015625,59.269264221191406,0.9664490818977356,0.0,0.0,0.04565204679965973,250.83102416992188,77.35275268554688,0.9818883538246155,234.6300811767578,83.91968536376953,0.8112302422523499,254.9165802001953,116.4306640625,0.9188072085380554,0.0,0.0,0.2967469096183777,238.83096313476562,146.86854553222656,0.7816355228424072,0.0,0.0,0.2476860135793686,256.0069580078125,148.93557739257812,0.9028328061103821,244.84683227539062,149.06216430664062,0.7562297582626343,0.0,0.0,0.38643646240234375,0.0,0.0,0.1899484544992447,0.0,0.0,0.052673351019620895,0.0,0.0,0.03318853676319122
3,True,215.1471405029297,73.70413970947266,0.9433937072753906,215.00869750976562,67.54618835449219,0.9735429883003235,212.68743896484375,71.5866928100586,0.5133057236671448,225.53399658203125,58.76728439331055,0.967680811882019,0.0,0.0,0.04938719421625137,251.27999877929688,77.34220886230469,0.9829010367393494,234.22450256347656,84.09379577636719,0.8216007947921753,257.5513000488281,117.92073822021484,0.919366717338562,0.0,0.0,0.3105839490890503,247.79022216796875,153.36459350585938,0.7715514898300171,0.0,0.0,0.24906601011753082,254.77149963378906,150.62213134765625,0.8955138921737671,243.1544189453125,150.73812866210938,0.7427052855491638,0.0,0.0,0.32767486572265625,0.0,0.0,0.1547064185142517,0.0,0.0,0.03944187983870506,0.0,0.0,0.02470366843044758
4,True,215.4740447998047,73.31228637695312,0.9469130635261536,215.35330200195312,67.17314910888672,0.9737775921821594,213.1345672607422,71.14881896972656,0.5272830724716187,225.76190185546875,58.534385681152344,0.9669305682182312,0.0,0.0,0.053570158779621124,250.94479370117188,77.16710662841797,0.9841665029525757,235.28858947753906,84.53701782226562,0.8409454226493835,255.35646057128906,116.7712631225586,0.9279007911682129,0.0,0.0,0.3476414680480957,240.4529571533203,149.7498321533203,0.8041754364967346,0.0,0.0,0.2912902534008026,255.44476318359375,150.40049743652344,0.906192421913147,244.82069396972656,150.65695190429688,0.7683266401290894,0.0,0.0,0.34940508008003235,0.0,0.0,0.17029471695423126,0.0,0.0,0.0384485088288784,0.0,0.0,0.024438876658678055
5,True,215.69593811035156,73.40813446044922,0.9425470232963562,215.5697784423828,67.27532958984375,0.9670380353927612,213.38385009765625,71.23811340332031,0.5340853333473206,225.7744598388672,58.53593444824219,0.958062469959259,0.0,0.0,0.060387205332517624,251.92906188964844,76.87985229492188,0.9827073216438293,233.93507385253906,85.13616943359375,0.8765620589256287,259.2510681152344,115.15628051757812,0.9196357131004333,0.0,0.0,0.4495013654232025,250.08401489257812,153.365966796875,0.7894175052642822,0.0,0.0,0.3633231222629547,256.4717102050781,149.0718994140625,0.9132279753684998,244.5076446533203,149.7481689453125,0.8120570778846741,0.0,0.0,0.36248236894607544,0.0,0.0,0.2070416659116745,0.0,0.0,0.042597852647304535,0.0,0.0,0.030549708753824234
6,True,215.8182373046875,73.10951232910156,0.9406481385231018,215.635009765625,67.06134033203125,0.9709847569465637,213.6378631591797,71.04055786132812,0.5040122866630554,225.9091033935547,58.48188781738281,0.9644927382469177,0.0,0.0,0.050018858164548874,251.46124267578125,76.28994750976562,0.9826253652572632,235.14144897460938,84.74684143066406,0.8288066387176514,258.30767822265625,112.8840103149414,0.9238144755363464,0.0,0.0,0.3330260217189789,245.14016723632812,146.83790588378906,0.801609456539154,0.0,0.0,0.2823396921157837,255.9860076904297,146.92623901367188,0.9190601110458374,245.04800415039062,147.74923706054688,0.7939539551734924,0.0,0.0,0.4504700303077698,0.0,0.0,0.2368791252374649,0.0,0.0,0.06385926902294159,0.0,0.0,0.04068824276328087
7,True,216.05368041992188,72.3545150756836,0.948611855506897,216.07533264160156,66.27525329589844,0.9721999764442444,213.8275146484375,70.34293365478516,0.5477716326713562,226.56480407714844,58.07849884033203,0.961718738079071,0.0,0.0,0.05626196786761284,251.6781463623047,75.97518920898438,0.9835684895515442,235.5561981201172,85.13156127929688,0.8641662001609802,258.1551208496094,111.05372619628906,0.9323751330375671,0.0,0.0,0.42360109090805054,239.68531799316406,140.84640502929688,0.842402994632721,0.0,0.0,0.3783990740776062,256.0304260253906,147.0979766845703,0.9360416531562805,245.01388549804688,148.1096954345703,0.8447645306587219,254.7136688232422,199.26339721679688,0.5058494210243225,0.0,0.0,0.29762402176856995,0.0,0.0,0.06860724091529846,0.0,0.0,0.046385347843170166
8,True,215.91954040527344,72.24286651611328,0.9417703151702881,215.76116943359375,66.09156799316406,0.9650202989578247,213.90280151367188,70.16905212402344,0.5030160546302795,226.27879333496094,57.86598205566406,0.953231930732727,0.0,0.0,0.04981531947851181,252.5398712158203,76.2381820678711,0.9837717413902283,235.0211181640625,85.74488830566406,0.8742645978927612,261.11572265625,110.36199951171875,0.9452887773513794,0.0,0.0,0.49232709407806396,237.15602111816406,135.6827392578125,0.8845576643943787,0.0,0.0,0.4652259945869446,256.7778015136719,147.28118896484375,0.9420710802078247,245.1103057861328,148.39663696289062,0.8597539663314819,255.82635498046875,198.69796752929688,0.5007383823394775,0.0,0.0,0.29744085669517517,0.0,0.0,0.058606989681720734,0.0,0.0,0.04005325958132744
9,True,215.97415161132812,71.69937896728516,0.9499829411506653,216.1615753173828,65.67700958251953,0.9669287800788879,213.90277099609375,69.60247802734375,0.5653266906738281,227.10537719726562,58.11784744262695,0.9509050846099854,0.0,0.0,0.06238526478409767,253.4033966064453,76.1288833618164,0.9854560494422913,234.7197265625,86.17877960205078,0.9058837890625,266.48077392578125,108.50489044189453,0.9476470947265625,235.6640167236328,120.30665588378906,0.5918163061141968,252.60391235351562,132.33218383789062,0.892360270023346,220.16799926757812,133.92385864257812,0.5478828549385071,257.1532287597656,147.14620971679688,0.9523671269416809,244.8345184326172,148.62164306640625,0.8926572203636169,257.453125,198.4897918701172,0.526063084602356,0.0,0.0,0.3445087671279907,0.0,0.0,0.060461219400167465,0.0,0.0,0.04443562030792236
