frame,person_detected,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,True,0.0,0.0,0.002024457324296236,0.0,0.0,0.00048084650188684464,0.0,0.0,0.0001860096090240404,0.0,0.0,0.0013966192491352558,0.0,0.0,0.00024243244843091816,0.0,0.0,0.012497330084443092,0.0,0.0,0.008787141181528568,0.0,0.0,0.29162952303886414,0.0,0.0,0.19879324734210968,276.4766540527344,64.21107482910156,0.6872264742851257,281.7115478515625,62.22032165527344,0.5456977486610413,0.0,0.0,0.11897741258144379,0.0,0.0,0.1029428243637085,0.0,0.0,0.006953089963644743,0.0,0.0,0.006238754838705063,0.0,0.0,0.000720064272172749,0.0,0.0,0.0007365369820035994
1,True,0.0,0.0,0.005740715190768242,0.0,0.0,0.0017844237154349685,0.0,0.0,0.0005483454442583025,0.0,0.0,0.0033563836477696896,0.0,0.0,0.000447139551397413,0.0,0.0,0.015055175870656967,0.0,0.0,0.015946336090564728,0.0,0.0,0.2240174114704132,0.0,0.0,0.20783260464668274,273.83050537109375,74.94648742675781,0.664597749710083,281.33843994140625,64.63856506347656,0.5813049674034119,0.0,0.0,0.1293371468782425,0.0,0.0,0.130851611495018,0.0,0.0,0.007334631867706776,0.0,0.0,0.007671404164284468,0.0,0.0,0.0007704040035605431,0.0,0.0,0.0008960675331763923
2,True,0.0,0.0,0.03715086728334427,0.0,0.0,0.016941139474511147,0.0,0.0,0.0024642411153763533,0.0,0.0,0.041236456483602524,0.0,0.0,0.0032470852602273226,0.0,0.0,0.2708119750022888,0.0,0.0,0.13232150673866272,0.0,0.0,0.4740361273288727,0.0,0.0,0.206029012799263,249.84078979492188,139.7745819091797,0.6796011924743652,0.0,0.0,0.41893020272254944,0.0,0.0,0.06684186309576035,0.0,0.0,0.04870792478322983,0.0,0.0,0.022167973220348358,0.0,0.0,0.0151516767218709,0.0,0.0,0.005811145529150963,0.0,0.0,0.0048593794927001
3,True,0.0,0.0,0.005532060284167528,0.0,0.0,0.0058504268527030945,0.0,0.0,0.0016945935785770416,0.0,0.0,0.12465225160121918,0.0,0.0,0.020209800451993942,0.0,0.0,0.11250660568475723,0.0,0.0,0.055627379566431046,0.0,0.0,0.10829058289527893,0.0,0.0,0.03967577591538429,0.0,0.0,0.10721579194068909,0.0,0.0,0.046871621161699295,0.0,0.0,0.4072142541408539,0.0,0.0,0.31099390983581543,0.0,0.0,0.25381869077682495,0.0,0.0,0.18067927658557892,0.0,0.0,0.05068354308605194,0.0,0.0,0.040250688791275024
4,True,0.0,0.0,0.01906389743089676,0.0,0.0,0.007861007936298847,0.0,0.0,0.0029285692144185305,0.0,0.0,0.019247369840741158,0.0,0.0,0.00504126725718379,0.0,0.0,0.06671938300132751,0.0,0.0,0.06989356130361557,0.0,0.0,0.18316857516765594,0.0,0.0,0.1699654459953308,0.0,0.0,0.36144712567329407,0.0,0.0,0.3129105865955353,0.0,0.0,0.13945771753787994,0.0,0.0,0.13729596138000488,0.0,0.0,0.020581036806106567,0.0,0.0,0.021097559481859207,0.0,0.0,0.003093539737164974,0.0,0.0,0.0034255138598382473
5,True,0.0,0.0,0.03129222244024277,0.0,0.0,0.015156708657741547,0.0,0.0,0.004127941560000181,0.0,0.0,0.037171121686697006,0.0,0.0,0.006359884515404701,0.0,0.0,0.1653047353029251,0.0,0.0,0.08834810554981232,0.0,0.0,0.31023287773132324,0.0,0.0,0.1274329274892807,0.0,0.0,0.45089682936668396,0.0,0.0,0.23548109829425812,0.0,0.0,0.2046041488647461,0.0,0.0,0.1450871229171753,0.0,0.0,0.03741730749607086,0.0,0.0,0.026412460952997208,0.0,0.0,0.005386217497289181,0.0,0.0,0.004555995110422373
6,True,0.0,0.0,0.001613787841051817,0.0,0.0,0.00034578682971186936,0.0,0.0,0.00016388592484872788,0.0,0.0,0.0015781178371980786,0.0,0.0,0.0004208761965855956,0.0,0.0,0.019017405807971954,0.0,0.0,0.02441268600523472,0.0,0.0,0.3179319202899933,0.0,0.0,0.40724438428878784,290.06719970703125,125.27483367919922,0.7097883224487305,282.7774353027344,80.58002471923828,0.741446316242218,0.0,0.0,0.15215986967086792,0.0,0.0,0.16096359491348267,0.0,0.0,0.0075619821436703205,0.0,0.0,0.008849328383803368,0.0,0.0,0.0006547134835273027,0.0,0.0,0.0007860197219997644
7,True,0.0,0.0,0.005878958385437727,0.0,0.0,0.002080660779029131,0.0,0.0,0.0004554637416731566,0.0,0.0,0.00871935486793518,0.0,0.0,0.0006968457018956542,0.0,0.0,0.06520283967256546,0.0,0.0,0.038234468549489975,318.53424072265625,111.51844787597656,0.5158178210258484,0.0,0.0,0.3029441237449646,285.8707580566406,126.93387603759766,0.783204197883606,277.8577575683594,80.43759155273438,0.6161631345748901,0.0,0.0,0.22509229183197021,0.0,0.0,0.16831167042255402,0.0,0.0,0.011111958883702755,0.0,0.0,0.008389933034777641,0.0,0.0,0.0008720512851141393,0.0,0.0,0.0007860279874876142
8,True,0.0,0.0,0.04060341790318489,0.0,0.0,0.020674007013440132,0.0,0.0,0.0031962543725967407,0.0,0.0,0.05080500245094299,0.0,0.0,0.0020415685139596462,0.0,0.0,0.19972151517868042,0.0,0.0,0.10261886566877365,314.0340270996094,124.0890884399414,0.6190273761749268,0.0,0.0,0.2853364944458008,287.01080322265625,131.5210723876953,0.781744658946991,0.0,0.0,0.49632903933525085,0.0,0.0,0.21441636979579926,0.0,0.0,0.14280955493450165,0.0,0.0,0.013247824274003506,0.0,0.0,0.007918955758213997,0.0,0.0,0.0014880939852446318,0.0,0.0,0.0011471769539639354
9,True,0.0,0.0,0.027665017172694206,0.0,0.0,0.008711998350918293,0.0,0.0,0.00285345665179193,0.0,0.0,0.013714603148400784,0.0,0.0,0.0017824848182499409,0.0,0.0,0.06176489219069481,0.0,0.0,0.09362083673477173,0.0,0.0,0.3474450707435608,0.0,0.0,0.42346736788749695,289.0475158691406,131.02198791503906,0.7039599418640137,278.73822021484375,83.91905212402344,0.688845157623291,0.0,0.0,0.08968307822942734,0.0,0.0,0.10131371021270752,0.0,0.0,0.005563972517848015,0.0,0.0,0.006269251927733421,0.0,0.0,0.0008058444363996387,0.0,0.0,0.0009664342505857348
