frame,person_detected,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,True,0.0,0.0,0.30130988359451294,10.672195434570312,42.263641357421875,0.5563284158706665,0.0,0.0,0.01621578261256218,27.731510162353516,43.759056091308594,0.816527247428894,0.0,0.0,0.002574826590716839,53.493896484375,74.61544799804688,0.9676482081413269,0.0,0.0,0.17860187590122223,64.85125732421875,127.14844512939453,0.9737120270729065,0.0,0.0,0.06166074424982071,60.57268524169922,174.041748046875,0.8737205862998962,0.0,0.0,0.05747758597135544,41.6080322265625,176.29031372070312,0.9762296676635742,13.301288604736328,174.28402709960938,0.7895678281784058,38.46345138549805,240.0,0.6206429600715637,0.0,0.0,0.15633413195610046,0.0,0.0,0.07444529980421066,0.0,0.0,0.020148444920778275
1,True,0.0,0.0,0.3629935383796692,8.242116928100586,43.55400085449219,0.6292262077331543,0.0,0.0,0.018231142312288284,27.568756103515625,43.399017333984375,0.8439965844154358,0.0,0.0,0.0023579057306051254,54.41791534423828,75.63186645507812,0.9578338265419006,0.0,0.0,0.17527544498443604,65.69789123535156,128.14044189453125,0.964451253414154,0.0,0.0,0.06753160059452057,61.08530807495117,172.4291229248047,0.8835561275482178,0.0,0.0,0.07597171515226364,41.757789611816406,176.57431030273438,0.9586138129234314,17.515640258789062,173.86573791503906,0.7130007743835449,39.302391052246094,240.0,0.5344772338867188,0.0,0.0,0.13516837358474731,0.0,0.0,0.05610130354762077,0.0,0.0,0.01723192073404789
2,True,0.0,0.0,0.41477593779563904,8.426456451416016,43.66722106933594,0.6733269691467285,0.0,0.0,0.02246134541928768,28.036413192749023,43.500205993652344,0.860660195350647,0.0,0.0,0.0026305567007511854,54.14988327026367,75.8779525756836,0.9551222920417786,0.0,0.0,0.20009727776050568,65.95008850097656,128.80516052246094,0.9565933346748352,0.0,0.0,0.07513280212879181,61.015159606933594,172.4471893310547,0.8660644292831421,0.0,0.0,0.0791352316737175,41.07447052001953,176.68374633789062,0.9523996114730835,19.332714080810547,173.68893432617188,0.7083388566970825,0.0,0.0,0.4959578216075897,0.0,0.0,0.13177859783172607,0.0,0.0,0.04859502613544464,0.0,0.0,0.016216764226555824
3,True,0.0,0.0,0.427805632352829,8.848274230957031,43.154136657714844,0.678191065788269,0.0,0.0,0.02375754714012146,28.504358291625977,43.12261962890625,0.8632311820983887,0.0,0.0,0.0027696718461811543,53.752342224121094,75.92668151855469,0.9529423713684082,0.0,0.0,0.21229150891304016,66.07543182373047,128.8588104248047,0.9523127675056458,0.0,0.0,0.08074457943439484,61.0364990234375,172.24966430664062,0.8600448966026306,0.0,0.0,0.0842265710234642,40.66632843017578,176.44512939453125,0.9508641362190247,20.816396713256836,173.13558959960938,0.7149516940116882,0.0,0.0,0.49831801652908325,0.0,0.0,0.14071108400821686,0.0,0.0,0.048888545483350754,0.0,0.0,0.017092663794755936
4,True,0.0,0.0,0.39802297949790955,5.986110687255859,42.19398498535156,0.6479030251502991,0.0,0.0,0.019432999193668365,27.179584503173828,42.344200134277344,0.8614365458488464,0.0,0.0,0.0022695257794111967,52.908905029296875,75.81132507324219,0.9349342584609985,0.0,0.0,0.21951183676719666,66.01948547363281,129.3043212890625,0.9292915463447571,0.0,0.0,0.08967702835798264,61.06385040283203,171.94827270507812,0.8180248737335205,0.0,0.0,0.0890507772564888,39.4044075012207,178.2017364501953,0.9365212321281433,22.081209182739258,174.98062133789062,0.7032517790794373,0.0,0.0,0.4201096296310425,0.0,0.0,0.13062094151973724,0.0,0.0,0.03722689673304558,0.0,0.0,0.015247490257024765
5,True,0.0,0.0,0.4225599765777588,5.348091125488281,42.633201599121094,0.6290733814239502,0.0,0.0,0.024664493277668953,26.72470474243164,42.43547821044922,0.8517062067985535,0.0,0.0,0.0033419583924114704,50.771514892578125,75.93057250976562,0.9142835140228271,0.0,0.0,0.3198298513889313,65.95306396484375,129.22048950195312,0.8818376660346985,0.0,0.0,0.14601099491119385,61.251129150390625,171.21363830566406,0.7513142228126526,0.0,0.0,0.12820380926132202,37.20901870727539,177.37644958496094,0.921765923500061,24.84149742126465,173.92483520507812,0.7430259585380554,0.0,0.0,0.3785613477230072,0.0,0.0,0.16211000084877014,0.0,0.0,0.03269175440073013,0.0,0.0,0.017856087535619736
6,True,0.0,0.0,0.3481089472770691,6.4655609130859375,42.929931640625,0.6162103414535522,0.0,0.0,0.01684032566845417,25.886066436767578,43.22584533691406,0.8401331901550293,0.0,0.0,0.0021769311279058456,52.76518249511719,75.50607299804688,0.9616215229034424,0.0,0.0,0.17218901216983795,64.62190246582031,127.67839813232422,0.9700857400894165,0.0,0.0,0.0670783668756485,60.570220947265625,170.9522705078125,0.899329662322998,0.0,0.0,0.08049876242876053,40.13744354248047,177.03990173339844,0.9643910527229309,14.15987777709961,174.34707641601562,0.731687605381012,37.66984176635742,240.0,0.5589712858200073,0.0,0.0,0.13882926106452942,0.0,0.0,0.05789681151509285,0.0,0.0,0.016979308798909187
7,True,0.0,0.0,0.3191063106060028,5.823268890380859,41.103271484375,0.5851044654846191,0.0,0.0,0.013070877641439438,26.003612518310547,41.53282928466797,0.8469211459159851,0.0,0.0,0.001778670004568994,52.15669250488281,75.40290832519531,0.9496237635612488,0.0,0.0,0.1500672549009323,64.71794128417969,128.22596740722656,0.958836555480957,0.0,0.0,0.06163928657770157,60.79080581665039,171.1511688232422,0.8735121488571167,0.0,0.0,0.06964514404535294,38.76405715942383,179.4527587890625,0.9496011137962341,19.395570755004883,175.83261108398438,0.6740601062774658,0.0,0.0,0.459013432264328,0.0,0.0,0.10758059471845627,0.0,0.0,0.04014812037348747,0.0,0.0,0.012661670334637165
8,True,0.0,0.0,0.2682231366634369,7.790185928344727,40.129722595214844,0.5150919556617737,0.0,0.0,0.011440805159509182,26.764198303222656,41.70100402832031,0.8089385032653809,0.0,0.0,0.0018099043518304825,52.29418182373047,76.08952331542969,0.9514195322990417,0.0,0.0,0.13077794015407562,64.06843566894531,128.3695526123047,0.966414213180542,0.0,0.0,0.057239532470703125,60.77273941040039,170.90093994140625,0.8906592130661011,0.0,0.0,0.06872254610061646,39.683353424072266,179.37423706054688,0.9560375213623047,16.913063049316406,176.01504516601562,0.6784472465515137,0.0,0.0,0.4896884560585022,0.0,0.0,0.10648453235626221,0.0,0.0,0.04455501213669777,0.0,0.0,0.012712686322629452
9,True,0.0,0.0,0.38889575004577637,11.086076736450195,46.306495666503906,0.6383406519889832,0.0,0.0,0.02680729702115059,27.989748001098633,44.32581329345703,0.8135795593261719,0.0,0.0,0.0036383643746376038,53.86085891723633,76.72653198242188,0.963697075843811,0.0,0.0,0.184953972697258,64.85926818847656,129.09629821777344,0.9701325297355652,0.0,0.0,0.06415407359600067,59.93307876586914,175.086669921875,0.8945633172988892,0.0,0.0,0.07804885506629944,40.432823181152344,180.04794311523438,0.9642719626426697,10.193531036376953,177.92025756835938,0.7261123657226562,38.31633377075195,240.0,0.5452341437339783,0.0,0.0,0.12408187985420227,0.0,0.0,0.055581267923116684,0.0,0.0,0.015207934193313122
