frame,joint1_x,joint1_y,joint2_x,joint2_y,joint3_x,joint3_y,joint4_x,joint4_y,joint5_x,joint5_y,joint6_x,joint6_y,joint7_x,joint7_y,joint8_x,joint8_y,joint9_x,joint9_y,joint10_x,joint10_y,joint11_x,joint11_y,joint12_x,joint12_y,joint13_x,joint13_y,joint14_x,joint14_y,joint15_x,joint15_y,joint16_x,joint16_y,joint17_x,joint17_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.8280639648437,12.401695251464844,222.7321929931641,22.882858276367188,273.7242431640625,71.79881286621094,214.6216735839844,80.92620849609375,235.8233337402344,151.4207305908203,195.0619659423828,141.42820739746094,275.6305847167969,158.14724731445312,245.7955322265625,161.72317504882812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.70977783203125,21.24107360839844,273.39215087890625,71.4295425415039,215.25894165039065,80.62950897216797,233.680908203125,153.04244995117188,194.40858459472656,141.5324249267578,277.9508361816406,159.75204467773438,248.3635406494141,163.318359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.76075744628903,19.180984497070312,273.5309143066406,73.3353271484375,215.0343475341797,81.31568908691406,233.15505981445312,153.2084197998047,192.66632080078125,141.34561157226562,276.2137451171875,158.25491333007812,244.48556518554688,160.53427124023438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.49562072753903,19.28528594970703,273.4426574707031,74.44670104980469,216.4283447265625,81.94799041748047,233.3729248046875,152.86526489257812,193.8656311035156,142.79139709472656,276.3919677734375,160.3521270751953,247.12841796875,162.86399841308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.42529296875,9.444686889648438,225.66749572753903,20.662506103515625,273.8358764648437,76.55363464355469,214.60711669921875,82.38433837890625,232.2349395751953,154.00958251953125,196.1637115478516,142.27542114257812,272.96636962890625,157.87802124023438,244.2186737060547,159.2401123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.52130126953125,8.829322814941406,227.1343231201172,20.24986267089844,273.60552978515625,76.33501434326172,214.87124633789065,82.7784423828125,232.017578125,154.09974670410156,194.7744140625,141.89137268066406,274.1632995605469,159.51742553710938,246.72813415527344,161.22161865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.442626953125,9.341926574707031,224.1432342529297,21.19341278076172,273.53790283203125,75.23538208007812,213.3331298828125,82.71920013427734,231.9580993652344,153.5936279296875,195.4183654785156,140.5911865234375,273.0308532714844,153.14503479003906,244.59890747070312,155.11512756347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.3304443359375,7.212997436523437,229.5532989501953,18.332305908203125,273.1842041015625,79.77263641357422,220.71694946289065,86.11488342285156,233.85304260253903,153.47183227539062,197.12680053710935,141.17953491210938,280.7928161621094,157.9061279296875,256.11871337890625,157.55661010742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.2192687988281,10.561660766601562,227.71380615234372,19.99488067626953,271.3683166503906,85.5997314453125,217.6015167236328,88.77950286865234,233.1290283203125,153.747802734375,198.5084991455078,141.51832580566406,280.3314514160156,159.99685668945312,253.83444213867188,159.66590881347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.66326904296875,11.10930633544922,227.56802368164065,18.593917846679688,272.7204284667969,86.03214263916016,217.7541961669922,87.78123474121094,233.56504821777344,153.3437957763672,194.46090698242188,140.61105346679688,275.80035400390625,155.1851806640625,248.8177490234375,154.17320251464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.28741455078125,13.164886474609377,226.4676055908203,21.104263305664062,271.4727783203125,86.97638702392578,212.3491058349609,85.95750427246094,233.3668212890625,154.32627868652344,196.0819396972656,140.6458282470703,274.2154541015625,159.55101013183594,243.02471923828125,160.58209228515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.1430358886719,10.6514892578125,227.3589782714844,20.99028778076172,269.3297119140625,83.17933654785156,213.3617248535156,86.44990539550781,235.04429626464844,154.73776245117188,198.43817138671875,140.72979736328125,281.91265869140625,158.796875,250.95172119140625,161.6319580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.79473876953125,8.9896240234375,0.0,0.0,270.7208557128906,77.10304260253906,214.64295959472656,84.60771942138672,233.9912109375,154.51953125,200.1474456787109,141.91009521484375,282.1687927246094,156.29180908203125,251.77410888671875,160.24737548828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.5648193359375,12.19928741455078,224.44715881347656,21.76549530029297,271.3468933105469,84.15452575683594,212.64279174804688,86.5733871459961,233.2196807861328,153.7383270263672,194.8995819091797,140.49337768554688,276.8399963378906,157.90281677246094,244.05679321289065,159.9203643798828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.1019287109375,11.885360717773438,225.1465606689453,21.48187255859375,271.6708679199219,83.7333984375,213.0659637451172,86.56787109375,233.0816192626953,153.38143920898438,195.7246551513672,140.94407653808594,275.520263671875,156.90614318847656,243.1070251464844,158.560791015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.849609375,11.643966674804688,222.77056884765625,22.649810791015625,271.8798217773437,80.91461181640625,212.1871337890625,87.05670928955078,233.6856689453125,152.92617797851562,195.3946075439453,141.411376953125,276.29559326171875,155.21124267578125,242.99041748046875,158.17501831054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
