frame,joint1_x,joint1_y,joint2_x,joint2_y,joint3_x,joint3_y,joint4_x,joint4_y,joint5_x,joint5_y,joint6_x,joint6_y,joint7_x,joint7_y,joint8_x,joint8_y,joint9_x,joint9_y,joint10_x,joint10_y,joint11_x,joint11_y,joint12_x,joint12_y,joint13_x,joint13_y,joint14_x,joint14_y,joint15_x,joint15_y,joint16_x,joint16_y,joint17_x,joint17_y
0,219.62522888183597,16.418731689453125,222.4362335205078,11.322998046875,0.0,0.0,240.81431579589844,8.844329833984375,0.0,0.0,268.8944702148437,38.46934509277344,233.16448974609372,41.30245208740234,289.47088623046875,81.57731628417969,0.0,0.0,277.87469482421875,124.29652404785156,221.52639770507807,121.6719970703125,255.8901824951172,126.3664093017578,232.5240020751953,124.11740112304688,250.57464599609372,187.2600860595703,218.77084350585935,183.4286651611328,245.6573181152344,233.73779296875,219.69464111328125,224.74090576171875
1,219.6764373779297,16.58282470703125,222.3873291015625,11.512710571289062,0.0,0.0,240.6031494140625,8.84320068359375,0.0,0.0,268.7374267578125,38.225921630859375,233.9846649169922,40.88518524169922,289.6484680175781,81.32225036621094,233.7198028564453,82.14691162109375,277.5845947265625,123.97894287109376,224.39540100097656,114.50373077392578,255.59803771972656,125.84683227539062,232.79542541503903,123.46055603027344,250.66123962402344,186.7724151611328,219.5995178222656,182.6320343017578,246.0388946533203,233.90655517578125,219.88888549804688,223.73995971679688
2,219.14437866210935,17.466812133789062,221.7540283203125,12.31878662109375,0.0,0.0,239.9164581298828,9.162506103515623,0.0,0.0,268.2764892578125,37.89312744140625,234.1309356689453,40.95606994628906,289.2494812011719,80.62135314941406,234.42205810546875,82.34565734863281,277.35174560546875,123.75616455078124,224.29025268554688,114.8749771118164,255.51844787597656,125.78411865234376,233.0377960205078,123.48753356933594,250.5790252685547,187.22726440429688,219.69723510742188,183.052734375,245.95703125,234.433349609375,219.85708618164065,223.8870086669922
3,218.41253662109372,16.046188354492188,221.06478881835935,10.905685424804688,0.0,0.0,239.3129730224609,8.17169189453125,0.0,0.0,267.752685546875,37.7376708984375,233.54458618164065,40.54322052001953,288.9233703613281,81.62873840332031,234.58303833007807,82.44143676757812,276.5716857910156,124.53782653808594,224.93267822265625,113.88005828857422,255.4587860107422,126.3746109008789,233.03468322753903,124.09945678710938,250.4797515869141,188.2987823486328,220.5119171142578,184.40216064453125,245.4887542724609,235.5390625,0.0,0.0
4,219.8098907470703,21.926002502441406,222.283447265625,16.54552459716797,0.0,0.0,240.19549560546875,11.327667236328123,0.0,0.0,268.97607421875,38.259910583496094,234.15911865234372,41.73700714111328,288.606201171875,81.35354614257812,233.59402465820312,83.10639190673828,276.43438720703125,125.14698791503906,224.77993774414065,113.57199096679688,255.1960601806641,126.27848815917967,232.32827758789065,123.97108459472656,250.50965881347656,188.8692626953125,218.99136352539065,183.895751953125,245.6405792236328,237.01657104492188,220.44607543945312,224.13319396972656
5,219.60101318359372,21.424346923828125,221.9215240478516,16.18360137939453,0.0,0.0,239.62310791015625,11.42108154296875,0.0,0.0,268.2235717773437,38.38728332519531,234.5756683349609,41.60679626464844,288.7889709472656,81.2898178100586,234.7097625732422,82.04824829101562,277.1779479980469,124.87024688720705,225.5826873779297,112.71249389648438,255.23681640625,125.61444091796876,233.0347900390625,123.35163879394533,250.7765655517578,187.9294586181641,219.68231201171875,183.5038146972656,246.3797607421875,236.11436462402344,219.9897003173828,224.49017333984372
6,219.98870849609372,21.895904541015625,222.50308227539065,16.581863403320312,0.0,0.0,240.44989013671875,11.5343017578125,0.0,0.0,268.78424072265625,38.20941162109375,235.20489501953125,41.53334045410156,288.8337097167969,81.05204772949219,235.4184112548828,82.08473205566406,276.9423828125,124.9805145263672,225.9490966796875,112.02134704589844,255.27780151367188,125.46249389648438,233.05796813964844,123.11237335205078,250.78628540039065,188.08001708984372,219.4656982421875,183.30075073242188,246.67236328125,236.8336334228516,219.8029327392578,224.33546447753903
7,219.9073486328125,21.57099151611328,222.4249267578125,16.233497619628906,0.0,0.0,240.1905975341797,11.275115966796877,0.0,0.0,268.550048828125,38.24577331542969,235.54885864257807,41.491485595703125,288.72589111328125,81.31443786621094,236.554931640625,81.92292022705078,276.873046875,125.49485778808594,226.5467834472656,111.22669982910156,254.8747711181641,125.76634216308594,232.91427612304688,123.2563247680664,250.5685272216797,188.8402404785156,219.1260223388672,183.62425231933597,247.3924102783203,237.6226501464844,219.9510498046875,224.38897705078125
8,219.9182891845703,21.36847686767578,222.37615966796875,15.965286254882812,0.0,0.0,239.9906463623047,11.120376586914062,0.0,0.0,268.66796875,38.32806396484375,235.87728881835935,41.61372375488281,289.58721923828125,81.22196197509766,236.80303955078125,81.6406478881836,277.8082580566406,125.85164642333984,226.8003387451172,110.2978973388672,255.03421020507807,126.38453674316406,233.28746032714844,123.7325668334961,249.7930908203125,189.93443298339844,219.37684631347656,184.21194458007807,246.26446533203125,238.30712890625,0.0,0.0
9,220.1971893310547,20.968765258789062,222.64996337890625,15.593307495117188,0.0,0.0,240.2410125732422,11.251449584960938,0.0,0.0,268.4366455078125,38.74884796142578,236.16403198242188,41.73868560791016,289.1331787109375,81.31439971923828,236.9373016357422,81.5568618774414,277.73193359375,124.93021392822266,226.29751586914065,110.1773681640625,254.76336669921875,125.71580505371094,233.31900024414065,123.0789031982422,249.9514312744141,189.093994140625,219.3924865722656,183.81573486328125,246.3714141845703,237.0936584472656,0.0,0.0
