frame,joint1_x,joint1_y,joint2_x,joint2_y,joint3_x,joint3_y,joint4_x,joint4_y,joint5_x,joint5_y,joint6_x,joint6_y,joint7_x,joint7_y,joint8_x,joint8_y,joint9_x,joint9_y,joint10_x,joint10_y,joint11_x,joint11_y,joint12_x,joint12_y,joint13_x,joint13_y,joint14_x,joint14_y,joint15_x,joint15_y,joint16_x,joint16_y,joint17_x,joint17_y
0,249.61669921875,41.18467712402344,251.09434509277344,35.08753967285156,242.4449462890625,37.998382568359375,253.74468994140625,38.07438659667969,231.5016326904297,45.50460815429688,273.5044250488281,69.06807708740234,229.3095245361328,75.95304870605469,290.3997497558594,106.6312026977539,230.82916259765625,112.39575958251952,270.598876953125,140.1936492919922,231.50733947753903,135.3419952392578,269.745849609375,147.58071899414062,240.27322387695312,149.2613525390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,251.36639404296875,39.97566223144531,252.49696350097656,34.072052001953125,244.41514587402344,36.72248077392578,0.0,0.0,232.6338653564453,44.18231201171875,273.3138122558594,68.99494934082031,228.42344665527344,75.51935577392578,290.0648193359375,107.3616714477539,229.36045837402344,114.44570922851562,271.5703125,141.7801055908203,234.5396423339844,144.4644775390625,270.4961853027344,148.64157104492188,240.65562438964844,150.46630859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,251.77029418945312,39.47642517089844,252.8808441162109,33.5311279296875,244.7131805419922,36.18749237060547,0.0,0.0,232.69354248046875,43.916053771972656,274.1851501464844,69.4583740234375,227.86802673339844,75.99163055419922,290.80059814453125,107.54010772705078,229.0025177001953,115.11067199707033,271.3524780273437,141.0650634765625,235.976806640625,145.9425048828125,270.73016357421875,150.4081268310547,240.0290069580078,152.22772216796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,252.86366271972656,40.2568588256836,253.7470245361328,34.44271469116211,246.03575134277344,36.78166198730469,0.0,0.0,233.56878662109372,43.49747467041016,274.3187255859375,68.69017028808594,228.17300415039065,75.90092468261719,289.51080322265625,105.3713836669922,228.45372009277344,115.69767761230467,272.0365600585937,141.3053436279297,235.9268035888672,143.89901733398438,271.0511169433594,147.40484619140625,240.59320068359372,149.1241455078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,252.83969116210935,40.706085205078125,254.05674743652344,34.76799774169922,246.1702880859375,37.012245178222656,0.0,0.0,233.83023071289065,43.320533752441406,274.38507080078125,69.62353515625,228.4366607666016,75.7394790649414,289.9659423828125,107.65373229980467,228.56468200683597,115.96469116210938,270.55230712890625,141.58935546875,235.6770782470703,146.7266387939453,270.19482421875,149.99339294433594,239.77577209472656,151.35556030273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,252.2134704589844,40.52503967285156,253.97950744628903,34.56487274169922,245.55426025390625,36.85395050048828,255.73504638671875,37.49306488037109,234.0445556640625,43.13494873046875,272.82452392578125,69.99181365966797,228.30357360839844,75.19866943359375,288.1849670410156,108.02163696289062,229.4046630859375,114.66389465332033,270.823974609375,141.65245056152344,232.34307861328125,148.56028747558594,268.1832580566406,149.99441528320312,238.7611083984375,151.454833984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,252.62692260742188,40.9947509765625,254.0823211669922,35.19584274291992,246.0504608154297,37.17065048217773,255.31532287597656,37.74165344238281,233.7528381347656,43.09710311889648,274.4003601074219,69.51726531982422,228.07974243164065,75.27278900146484,290.2962646484375,107.04944610595705,227.61801147460935,115.12232971191406,271.8010559082031,141.7378692626953,233.25225830078125,144.91317749023438,269.530517578125,150.00210571289062,238.9615173339844,151.03616333007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,253.4030914306641,40.64745330810547,254.64610290527344,34.97742462158203,246.91311645507807,37.33516693115234,0.0,0.0,235.2263946533203,43.69343566894531,272.355224609375,70.04832458496094,228.9434051513672,75.8709716796875,288.57440185546875,106.52867889404295,228.31838989257807,114.51262664794922,270.39605712890625,139.24766540527344,230.5428009033203,147.1742706298828,268.0325622558594,148.490234375,238.92239379882807,150.1778564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,253.01239013671875,40.32215118408203,254.58761596679688,34.51935577392578,246.5831451416016,36.72156524658203,0.0,0.0,234.89122009277344,43.067604064941406,272.85626220703125,69.82353973388672,228.02392578125,74.74810791015625,288.9183959960937,107.19552612304688,228.04409790039065,113.39202880859376,270.4256591796875,140.5829315185547,231.53125,147.29457092285156,267.19268798828125,148.9160614013672,237.7112274169922,150.21556091308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,254.0114288330078,40.40411376953125,255.34844970703125,34.677215576171875,247.6631774902344,36.75213623046875,0.0,0.0,234.91763305664065,43.00892639160156,274.1836853027344,69.78018188476562,228.01612854003903,75.69554138183594,291.28912353515625,107.1679916381836,227.7667388916016,115.1776123046875,270.2687683105469,140.60769653320312,233.14016723632807,146.9421844482422,269.9028625488281,149.43540954589844,239.62962341308597,150.89227294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,254.2597198486328,40.3621826171875,255.72630310058597,34.548309326171875,247.88819885253903,36.56661987304688,0.0,0.0,235.19065856933597,42.86903381347656,274.2301940917969,70.07183074951172,228.28903198242188,76.19347381591797,291.562744140625,107.13585662841795,228.1710205078125,115.83882904052734,269.4233703613281,139.96304321289062,233.8826446533203,147.37387084960938,269.72418212890625,149.607666015625,239.534912109375,151.1606903076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
