frame,joint1_x,joint1_y,joint2_x,joint2_y,joint3_x,joint3_y,joint4_x,joint4_y,joint5_x,joint5_y,joint6_x,joint6_y,joint7_x,joint7_y,joint8_x,joint8_y,joint9_x,joint9_y,joint10_x,joint10_y,joint11_x,joint11_y,joint12_x,joint12_y,joint13_x,joint13_y,joint14_x,joint14_y,joint15_x,joint15_y,joint16_x,joint16_y,joint17_x,joint17_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.5806121826172,61.56128692626953,148.46739196777344,74.05877685546875,179.98129272460938,75.06306457519531,139.81944274902344,102.2566375732422,185.38812255859372,103.7630386352539,0.0,0.0,0.0,0.0,148.3990478515625,126.4722137451172,169.86813354492188,126.67974853515624,150.70103454589844,167.50390625,172.27841186523438,167.4859619140625,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,158.77804565429688,61.30971908569336,172.90122985839844,61.62612533569336,146.45729064941406,78.33726501464844,178.77330017089844,78.38948822021484,135.22116088867188,106.44815063476562,183.1884002685547,106.44256591796876,0.0,0.0,0.0,0.0,148.80239868164062,127.59523010253906,171.58111572265625,127.9762954711914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,155.6553497314453,60.29365539550781,167.76580810546875,60.64768600463867,146.5206756591797,75.97882843017578,171.65646362304688,76.99348449707031,135.02601623535156,102.25169372558594,175.71243286132812,104.81409454345705,139.41285705566406,117.09424591064452,0.0,0.0,148.6488037109375,126.48101806640624,165.65234375,127.27991485595705,150.67556762695312,166.86029052734375,167.8773193359375,168.25201416015625,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.479248046875,61.49150085449219,144.02357482910156,75.61729431152344,166.0246124267578,77.1076889038086,130.9169464111328,98.92656707763672,170.71127319335938,102.54956817626952,134.28884887695312,115.68839263916016,173.92733764648438,121.55323791503906,144.86865234375,126.75906372070312,159.5117950439453,127.73420715332033,147.33462524414062,167.46617126464844,163.6782989501953,167.58726501464844,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,163.47189331054688,62.61878204345703,0.0,0.0,162.0125274658203,59.79803466796875,0.0,0.0,157.4773712158203,59.28533554077149,147.98963928222656,74.82301330566406,152.6728973388672,76.39732360839844,0.0,0.0,150.83865356445312,108.68360137939452,0.0,0.0,168.36294555664062,124.2543716430664,139.80865478515625,127.28754425048828,144.4015350341797,129.28768920898438,0.0,0.0,158.01177978515625,170.6936798095703,0.0,0.0,0.0,0.0
6,164.17288208007812,62.6541748046875,0.0,0.0,162.94723510742188,60.04790496826172,0.0,0.0,155.5494842529297,59.67503356933594,141.53163146972656,73.91648864746094,150.00794982910156,76.52029418945312,0.0,0.0,148.6030731201172,106.25218200683594,0.0,0.0,164.8765411376953,123.40560150146484,138.909423828125,125.18799591064452,145.29208374023438,127.83189392089844,0.0,0.0,155.3328094482422,167.22984313964844,0.0,0.0,0.0,0.0
7,155.27923583984375,61.25126266479492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.46392822265625,74.37113189697266,140.17144775390625,73.57457733154297,159.10787963867188,106.86016082763672,134.11370849609375,106.93571472167967,164.62863159179688,121.26844787597656,158.50244140625,125.34322357177734,146.46163940429688,126.4048080444336,133.51487731933594,127.29090118408205,0.0,0.0,146.82647705078125,164.10830688476562,0.0,0.0,0.0,0.0
8,161.54574584960938,58.10945129394531,0.0,0.0,160.59048461914062,54.9092025756836,0.0,0.0,153.6488800048828,54.994476318359375,150.8802032470703,74.52603149414062,138.46395874023438,74.9024658203125,0.0,0.0,129.01583862304688,106.37474060058594,163.01670837402344,118.72184753417967,148.5345458984375,120.7237777709961,140.57913208007812,126.26429748535156,132.69155883789062,127.85196685791016,0.0,0.0,142.04234313964844,168.7040557861328,0.0,0.0,0.0,0.0
9,156.64862060546875,57.40593719482422,158.3024444580078,54.68225860595703,153.29209899902344,54.13928985595703,0.0,0.0,143.50051879882812,54.703834533691406,153.13943481445312,74.00399780273438,132.41331481933594,71.27833557128906,154.5893096923828,99.80350494384766,124.09391784667967,98.4744644165039,160.02371215820312,116.98387908935548,137.3092041015625,119.67024230957033,141.53781127929688,112.84518432617188,129.1326904296875,113.02259826660156,156.11636352539062,131.0289306640625,149.46395874023438,129.98497009277344,152.07205200195312,161.3824005126953,151.01397705078125,160.46157836914062
10,150.80538940429688,55.85478973388672,153.75599670410156,52.985084533691406,147.6199493408203,52.12730026245117,0.0,0.0,139.98377990722656,52.28791046142578,156.268310546875,73.76642608642578,127.04389190673828,72.6524658203125,162.77560424804688,100.2258529663086,116.3724365234375,102.12474822998048,165.07281494140625,118.26492309570312,138.800537109375,121.9239730834961,145.23223876953125,127.41412353515624,126.86441802978516,127.70410919189452,144.60313415527344,168.48248291015625,130.70645141601562,169.40635681152344,0.0,0.0,0.0,0.0
11,138.5153350830078,53.23006439208984,141.82142639160156,50.14767456054688,135.85121154785156,49.90744018554688,0.0,0.0,0.0,0.0,148.47628784179688,76.22480773925781,121.93865203857422,75.01522064208984,150.91458129882812,103.22808074951172,108.61455535888672,103.27401733398438,156.03805541992188,117.89134216308594,127.26399230957033,119.18524169921876,143.64730834960938,125.46247863769533,126.31153869628906,126.3154525756836,147.35317993164062,160.15286254882812,132.31192016601562,162.02407836914062,0.0,0.0,0.0,0.0
12,131.1616973876953,52.8385009765625,135.29978942871094,49.50070190429688,128.85597229003906,49.365325927734375,142.68861389160156,52.26481628417969,126.45939636230467,51.14622497558594,147.29681396484375,75.26464080810547,117.595703125,74.75884246826172,152.53689575195312,102.32079315185548,106.04239654541016,103.5910873413086,155.96279907226562,119.12734985351562,122.00997161865234,119.8125457763672,143.33998107910156,129.6583709716797,123.95542907714844,130.33596801757812,145.07061767578125,168.79412841796875,126.84701538085938,170.4764404296875,0.0,0.0,0.0,0.0
13,123.94053649902344,52.05413436889648,128.87240600585938,48.31738662719727,122.05140686035156,48.49409866333008,138.16622924804688,50.77598190307617,120.84880828857422,50.01346206665039,144.49380493164062,75.4461441040039,112.77198028564452,75.79518127441406,149.57969665527344,102.5278091430664,101.4027099609375,104.89352416992188,150.86666870117188,116.59408569335938,116.68669128417967,119.6015167236328,139.15475463867188,136.02316284179688,118.4008560180664,136.68161010742188,139.64361572265625,179.93228149414062,117.52000427246094,181.2852325439453,0.0,0.0,0.0,0.0
14,118.73963928222656,52.53102493286133,123.4731216430664,48.62699890136719,116.25056457519533,48.72792434692383,132.48858642578125,50.69942092895508,114.1160125732422,50.22993469238281,141.4621124267578,74.42540740966797,106.11366271972656,74.63978576660156,151.5926971435547,102.75139617919922,95.830810546875,105.0288314819336,153.40945434570312,117.8408660888672,109.78282165527344,121.86097717285156,137.77133178710938,136.4803924560547,114.38313293457033,136.96524047851562,139.2044219970703,181.7647399902344,115.17779541015624,182.35281372070312,0.0,0.0,0.0,0.0
15,107.4872589111328,51.09513854980469,111.87681579589844,46.889923095703125,106.12301635742188,47.856536865234375,123.19332122802734,48.846221923828125,0.0,0.0,136.03582763671875,73.85488891601562,102.0778579711914,76.63992309570312,142.8043975830078,103.62185668945312,92.82837677001952,108.12802124023438,137.00775146484375,125.44281005859376,105.08050537109376,127.60897827148438,133.09649658203125,135.21572875976562,111.45022583007812,136.53038024902344,134.69277954101562,178.60755920410156,114.03192138671876,180.2553558349609,0.0,0.0,0.0,0.0
