frame,joint1_x,joint1_y,joint2_x,joint2_y,joint3_x,joint3_y,joint4_x,joint4_y,joint5_x,joint5_y,joint6_x,joint6_y,joint7_x,joint7_y,joint8_x,joint8_y,joint9_x,joint9_y,joint10_x,joint10_y,joint11_x,joint11_y,joint12_x,joint12_y,joint13_x,joint13_y,joint14_x,joint14_y,joint15_x,joint15_y,joint16_x,joint16_y,joint17_x,joint17_y
0,312.9355773925781,117.71841430664062,316.824462890625,113.59910583496094,310.7668762207031,113.09359741210938,0.0,0.0,0.0,0.0,320.0,129.31292724609375,311.1734924316406,124.62299346923828,0.0,0.0,303.05133056640625,148.09889221191406,305.6785583496094,166.5188446044922,292.20587158203125,155.82200622558594,0.0,0.0,305.9841613769531,167.3526153564453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,128.53897094726562,310.1686706542969,125.4654312133789,0.0,0.0,303.6451416015625,148.4679412841797,0.0,0.0,293.603515625,156.60267639160156,0.0,0.0,307.17193603515625,167.3035888671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,313.02911376953125,114.72184753417967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,125.71417999267578,312.9779968261719,121.82817840576172,0.0,0.0,303.804443359375,147.12258911132812,0.0,0.0,294.5380859375,154.63778686523438,0.0,0.0,308.8592529296875,166.92274475097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.1416320800781,123.68079376220705,0.0,0.0,314.281005859375,156.17306518554688,0.0,0.0,307.9471435546875,167.21263122558594,0.0,0.0,312.1437072753906,169.67752075195312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.5223388671875,124.5546646118164,0.0,0.0,314.3429260253906,157.84896850585938,0.0,0.0,308.4211730957031,167.1299591064453,0.0,0.0,313.0077209472656,170.86007690429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,313.4052734375,113.52022552490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,125.04093170166016,312.7016296386719,120.65591430664062,318.053955078125,159.04327392578125,304.1056823730469,148.07498168945312,308.42657470703125,166.23179626464844,294.2098693847656,155.70689392089844,0.0,0.0,307.3390197753906,166.50428771972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,313.0460205078125,116.14102172851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,126.76339721679688,312.96881103515625,121.34178161621094,0.0,0.0,303.3984680175781,147.88897705078125,309.2040405273437,165.86648559570312,289.9681091308594,156.6613311767578,0.0,0.0,307.8820495605469,167.28814697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.7375183105469,123.1062469482422,314.2815856933594,120.14071655273438,315.2523193359375,156.4297637939453,0.0,0.0,308.081298828125,165.5536346435547,0.0,0.0,313.1717834472656,170.01882934570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.4015197753906,125.17743682861328,0.0,0.0,315.1677551269531,156.59637451171875,0.0,0.0,307.4556884765625,165.28741455078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.9343566894531,122.34681701660156,0.0,0.0,315.3507385253906,154.40420532226562,0.0,0.0,307.48016357421875,165.4474639892578,0.0,0.0,311.74371337890625,169.9016876220703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.5341186523437,122.40241241455078,0.0,0.0,312.5360412597656,154.84742736816406,0.0,0.0,306.583984375,164.69171142578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.8553161621094,120.02256774902344,0.0,0.0,310.7596435546875,153.26806640625,0.0,0.0,304.6749267578125,163.674072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.27947998046875,119.3692398071289,0.0,0.0,0.0,0.0,0.0,0.0,306.94805908203125,163.56536865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.1969909667969,118.25534057617188,0.0,0.0,306.0047607421875,144.94996643066406,308.5251159667969,164.97996520996094,297.1243591308594,157.07862854003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,119.71843719482422,314.3139343261719,117.56689453125,0.0,0.0,304.03094482421875,146.24349975585938,308.8160095214844,165.859130859375,293.22576904296875,158.09207153320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.9701538085937,117.11404418945312,0.0,0.0,302.2593688964844,143.98208618164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.4291687011719,153.9663543701172,0.0,0.0,310.6004943847656,162.03616333007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.5712890625,114.7198715209961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.3882751464844,113.92124938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.9309387207031,115.30945587158205,0.0,0.0,303.9512634277344,140.74258422851562,0.0,0.0,315.84979248046875,147.47528076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
