frame,joint1_x,joint1_y,joint2_x,joint2_y,joint3_x,joint3_y,joint4_x,joint4_y,joint5_x,joint5_y,joint6_x,joint6_y,joint7_x,joint7_y,joint8_x,joint8_y,joint9_x,joint9_y,joint10_x,joint10_y,joint11_x,joint11_y,joint12_x,joint12_y,joint13_x,joint13_y,joint14_x,joint14_y,joint15_x,joint15_y,joint16_x,joint16_y,joint17_x,joint17_y
0,852.3643798828125,348.93389892578125,859.705078125,337.8050537109375,842.1004638671875,338.9779357910156,874.664794921875,323.910888671875,826.6224365234375,327.23248291015625,899.8504028320312,345.5499572753906,816.7410278320312,345.2230834960937,918.9036865234376,418.2530822753906,801.3795166015625,413.3854064941406,895.86767578125,470.5097351074219,812.3843994140625,474.1573486328125,887.8786010742188,450.5543212890625,832.2890625,448.7395629882813,884.468017578125,507.39593505859375,817.8795166015625,502.8269348144531,885.6740112304688,592.6187744140625,834.8564453125,586.604736328125
1,852.4913330078125,349.292724609375,859.63330078125,338.1294250488281,842.2603759765625,339.3005676269531,874.6729736328125,323.3851013183594,826.7492065429688,326.7350158691406,900.6478271484375,344.7239685058594,817.134521484375,343.808837890625,918.9970092773438,419.0138549804688,801.25390625,412.7329711914063,895.256103515625,470.7285461425781,811.9729614257812,473.440673828125,887.3373413085938,450.3580627441406,831.6366577148438,448.15234375,883.3350219726562,509.5284423828125,817.8853759765625,504.488525390625,884.3197631835938,591.0195922851562,835.1815795898438,584.4739990234375
2,852.745849609375,349.3717041015625,859.744384765625,338.2158508300781,842.4556884765625,339.4799499511719,874.50244140625,322.8566589355469,826.822998046875,326.4464111328125,900.5679931640625,343.11944580078125,817.1627197265625,342.64190673828125,917.906982421875,418.02532958984375,800.685546875,412.2937316894531,893.8175048828125,470.510009765625,811.0372924804688,473.141357421875,887.1097412109375,448.5870666503906,831.47021484375,446.59478759765625,883.3504028320312,509.833251953125,817.7005004882812,505.0789794921875,884.384033203125,591.1196899414062,834.50048828125,584.944091796875
3,852.2314453125,349.67791748046875,859.2432861328125,338.4306640625,842.0095825195312,339.7639465332031,874.2462158203125,322.8515014648437,826.6773681640625,326.5869140625,900.562744140625,343.04949951171875,817.283447265625,342.8599548339844,917.3344116210938,418.6398010253906,800.7778930664062,413.0637817382813,892.9295654296875,471.6938781738281,811.3002319335938,473.34368896484375,887.422607421875,448.77978515625,831.8717041015625,446.9098510742188,883.588134765625,508.0740051269531,817.5994873046875,503.5061645507813,884.7586669921875,590.39306640625,834.5137939453125,584.5581665039062
4,852.5184326171875,350.6767578125,859.5030517578125,339.20819091796875,841.8919677734375,340.657470703125,874.05615234375,323.4430236816406,825.9336547851562,327.4647216796875,899.904296875,343.9735107421875,816.6334228515625,344.17742919921875,916.10693359375,419.4238586425781,799.8411865234375,414.2711791992188,892.6876220703125,471.8712158203125,810.6480102539062,473.2586975097656,887.1141357421875,448.9917602539063,831.590576171875,447.44287109375,884.6080322265625,507.1541748046875,818.1219482421875,502.9254455566406,885.3231201171875,589.9349365234375,834.6240234375,584.5006103515625
5,852.21826171875,351.06719970703125,859.1005859375,339.46844482421875,841.634033203125,341.0595092773437,873.794189453125,323.3748779296875,825.796630859375,327.759033203125,899.9046630859375,343.8134155273437,816.7774658203125,344.85406494140625,916.172607421875,418.82025146484375,799.8970947265625,415.1614379882813,892.6636962890625,471.2026062011719,810.7247314453125,473.183837890625,887.0704345703125,450.2960815429688,831.6527709960938,449.0974731445313,885.0120849609375,506.5223693847656,818.30224609375,502.7743835449219,885.2807006835938,589.0911865234375,834.09814453125,584.484375
6,852.256591796875,351.1544189453125,859.1082763671875,339.48992919921875,841.63623046875,341.1426086425781,873.808349609375,323.3102722167969,825.8014526367188,327.8534545898437,899.85205078125,343.74530029296875,817.0405883789062,344.80340576171875,916.3112182617188,418.1139221191406,800.0828247070312,414.2833251953125,893.8255004882812,470.353515625,810.1297607421875,472.4126586914063,886.83251953125,449.5555419921875,831.6212768554688,448.3326416015625,884.8141479492188,507.0535583496094,818.4237670898438,503.2138671875,885.7857666015625,589.3414916992188,834.6781005859375,584.5739135742188
7,850.2347412109375,351.2325439453125,857.3801879882812,339.7272644042969,840.157958984375,341.0145874023437,873.071044921875,323.4911499023437,825.368408203125,327.09454345703125,899.5970458984375,343.96990966796875,816.7578125,343.8338928222656,916.80419921875,418.32568359375,800.0811767578125,412.93756103515625,894.7896728515625,470.54437255859375,809.69140625,471.8993225097656,885.8728637695312,450.1744079589844,830.683349609375,448.41455078125,884.5478515625,509.1329040527344,818.5504760742188,504.7190551757813,885.9913330078125,590.1756591796875,835.072509765625,584.7685546875
8,849.7130126953125,350.96697998046875,856.9074096679688,339.486083984375,839.7621459960938,340.7085876464844,872.8826293945312,323.42889404296875,825.249267578125,326.8473815917969,899.4000244140625,344.0067138671875,816.74658203125,343.8724060058594,916.6455078125,418.3988342285156,800.0663452148438,413.2821044921875,896.141357421875,470.40771484375,809.5336303710938,471.7253723144531,885.8453369140625,450.0707702636719,830.7435302734375,448.4075317382813,885.731201171875,507.3563232421875,819.247314453125,503.1263427734375,886.6903076171875,590.14794921875,834.5890502929688,584.98388671875
9,849.5972900390625,350.9566650390625,856.908447265625,339.56756591796875,839.7440185546875,340.7119140625,873.0068359375,323.5873718261719,0.0,0.0,899.4142456054688,343.4618530273437,816.25927734375,343.44390869140625,916.4151611328124,417.7757568359375,799.564208984375,412.9685668945313,894.9483032226562,471.1172790527344,809.1634521484375,471.8716430664063,885.634033203125,448.222412109375,830.13671875,446.6553039550781,885.504638671875,507.5514526367188,818.9917602539062,503.5386352539063,886.45947265625,590.0862426757812,834.6110229492188,585.319580078125
10,849.7708740234375,350.61773681640625,856.9600830078125,339.2923889160156,839.9375,340.5162658691406,872.9415283203125,323.45855712890625,0.0,0.0,899.347900390625,343.34967041015625,816.5625,343.5567321777344,916.256103515625,417.0498962402344,799.5491943359375,412.3841857910156,894.9270629882812,470.97369384765625,808.6008911132812,471.5283508300781,885.5615844726562,448.287109375,830.2908935546875,446.80615234375,885.5399169921875,508.2203063964844,819.3853759765625,504.3189697265625,886.366943359375,589.8404541015625,834.554931640625,585.1752319335938
11,849.857666015625,350.5042419433594,857.070556640625,339.1885986328125,839.9408569335938,340.396240234375,872.934326171875,323.40386962890625,0.0,0.0,899.070556640625,343.30126953125,816.4622802734375,343.61383056640625,916.0589599609376,416.43505859375,799.3929443359375,412.1997680664063,895.442626953125,470.6142578125,808.270751953125,471.7474365234375,885.2418212890625,448.7341918945313,830.1163330078125,447.3496398925781,885.8787841796875,507.8729553222656,819.9954833984375,504.09765625,886.0858154296875,589.3857421875,834.5802001953125,584.8614501953125
12,849.7120361328125,350.5771484375,857.0971069335938,339.2366638183594,839.8388671875,340.3294677734375,873.1001586914062,323.37261962890625,825.3148193359375,326.4757385253906,898.9696655273438,343.2292175292969,816.322998046875,343.7041015625,916.344482421875,415.2105102539063,799.240234375,412.53802490234375,896.8345947265625,467.3580932617188,808.1807861328125,471.91162109375,884.7022705078125,448.70452880859375,829.6065673828125,447.429931640625,886.1834106445312,507.463134765625,819.938720703125,503.81103515625,886.3302001953125,589.0617065429688,834.1492309570312,584.795166015625
13,849.4976806640625,350.6451416015625,856.8875732421875,339.3505554199219,839.7027587890625,340.3970947265625,872.9130249023438,323.4562072753906,825.2628173828125,326.43328857421875,898.7703857421875,343.08465576171875,816.1312866210938,343.4725341796875,916.389892578125,414.78460693359375,798.970947265625,412.3406982421875,897.3607177734375,466.6171875,807.9246826171875,472.1255493164063,884.5043334960938,448.03802490234375,829.4339599609375,446.725341796875,885.7886962890625,507.96038818359375,819.7115478515625,504.2466430664063,886.1607666015625,589.2124633789062,834.0892333984375,584.8670654296875
14,849.5135498046875,349.2882080078125,856.7957763671875,338.20428466796875,840.1371459960938,339.1368713378906,872.949951171875,322.7970275878906,0.0,0.0,899.00048828125,342.7299499511719,816.5269775390625,342.9924621582031,916.665771484375,414.5610961914063,799.1295776367188,412.08502197265625,897.5824584960938,467.0865478515625,807.7893676757812,471.78021240234375,884.6568603515625,447.7839965820313,829.7039794921875,446.450927734375,885.2224731445312,508.3618469238281,819.77880859375,504.7827758789063,886.096435546875,589.177490234375,834.192138671875,585.1152954101562
